"Reactome Pathway Term","Adjusted P-value","Size","Leading Edge"
"AURKA Activation by TPX2","2.958e-03","70","AKAP9, ALMS1, AURKA, CDK1, CEP152, CEP290, CEP57, CEP70, CEP78, CETN2, CNTRL, DYNC1I2, HAUS1, HAUS3, HAUS6, HMMR, HSP90AA1, NEDD1, NEK2, PCM1, PLK4"
"Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins","5.355e-06","74","BUB3, CCNA2, CDC27, CDK1, MAD2L1, NEK2, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, PTTG1, RPS27A, SEM1, UBA52, UBC, UBE2D1"
"Activation of NF-kappaB in B cells","5.083e-03","64","CUL1, MAP3K7, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB7, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, SKP1, UBA52, UBC"
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","5.451e-09","58","EIF1AX, EIF2S2, EIF3E, EIF3H, EIF3J, EIF3M, EIF4A2, EIF4E, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA"
"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","8.905e-08","92","AHCTF1, BUB3, CENPC, CENPE, CENPF, CENPH, CENPI, CENPK, CENPL, CENPQ, CENPU, CLASP2, DSN1, DYNC1I2, ERCC6L, ITGB3BP, KIF18A, KIF2A, KNL1, MAD2L1, NDC80, NSL1, NUF2, NUP107, PPP1CC, PPP2CA, PPP2R1B, PPP2R5A, PPP2R5C, PPP2R5E, RANBP2, RPS27, SEH1L, SGO2, SKA2, SPC25, SPDL1, TAOK1, XPO1, ZWILCH"
"Amplification of signal from the kinetochores","8.905e-08","92","AHCTF1, BUB3, CENPC, CENPE, CENPF, CENPH, CENPI, CENPK, CENPL, CENPQ, CENPU, CLASP2, DSN1, DYNC1I2, ERCC6L, ITGB3BP, KIF18A, KIF2A, KNL1, MAD2L1, NDC80, NSL1, NUF2, NUP107, PPP1CC, PPP2CA, PPP2R1B, PPP2R5A, PPP2R5C, PPP2R5E, RANBP2, RPS27, SEH1L, SGO2, SKA2, SPC25, SPDL1, TAOK1, XPO1, ZWILCH"
"Anchoring of the basal body to the plasma membrane","1.248e-02","95","AKAP9, ALMS1, CCP110, CDK1, CEP152, CEP162, CEP290, CEP57, CEP70, CEP78, CEP83, CETN2, CKAP5, CNTRL, DYNC1I2, HAUS1, HAUS3, HAUS6, HSP90AA1, MAPRE1, NEDD1, NEK2, NPHP1, PCM1, PLK4, RAB11A, RAB3IP, RPGRIP1L, SCLT1, SEPTIN2, TMEM67"
"Antigen processing-Cross presentation","1.912e-03","90","B2M, CTSL, CTSS, HLA-B, HMGB1, LNPEP, MRC2, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB7, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEC61G, SEM1, TLR1, TLR2, UBA52, UBC, VAMP3"
"Antigen processing: Ubiquitination & Proteasome degradation","1.663e-03","272","ASB3, BTBD1, CDC27, CUL1, CUL2, CUL5, DTX3L, ELOB, ELOC, FBXL13, FBXL3, FBXL4, FBXL5, FBXO22, FBXW9, GLMN, HECTD1, HERC5, HERC6, ITCH, KBTBD6, KBTBD8, KLHL13, KLHL20, KLHL5, KLHL9, LNPEP, LONRF1, LRR1, LTN1, NEDD4, PJA2, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB10, PSMB3, PSMB7, PSMC2, PSMC6, PSMD1, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBBP6, RBX1, RLIM, RNF138, RNF14, RNF25, RNF6, RNF7, RPS27A, SEM1, SIAH1, SIAH2, SKP1, SKP2, SMURF2, TPP2, TRIM21, TRIM69, TRIP12, UBA3, UBA5, UBA52, UBA6, UBC, UBE2D1, UBE2D2, UBE2D3, UBE2E1, UBE2F, UBE2G1, UBE2J1, UBE2K, UBE2N, UBE2V2, UBE2W, UBE3A, UBE3D, UBR1, UBR2, UFL1, WWP1, ZNRF2"
"Apoptosis","1.534e-02","160","APC, APIP, APPL1, BCL2, BIRC2, CASP3, CYCS, DAPK2, DNM1L, FNTA, HMGB1, HMGB2, OPA1, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, ROCK1, RPS27A, SEM1, TFDP2, TNFSF10, UACA, UBA52, UBC, XIAP, YWHAQ"
"Arachidonic acid metabolism","3.552e-02","33","ABCC1, AKR1C3, ALOX12B, ALOX5, CYP1A1, CYP1B1, CYP4F11, CYP4F3, FAAH, GPX2, PTGES2, PTGS1"
"Assembly of the pre-replicative complex","8.073e-03","105","CDC27, GMNN, H2AZ1, H3-3A, MCM6, ORC3, ORC4, ORC5, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, RPS27A, SEM1, UBA52, UBC, UBE2D1"
"Asymmetric localization of PCP proteins","1.269e-03","60","FZD3, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, SMURF2, UBA52, UBC"
"Autodegradation of Cdh1 by Cdh1:APC/C","1.571e-04","64","CDC27, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, RPS27A, SEM1, UBA52, UBC, UBE2D1, UBE2E1"
"Autodegradation of the E3 ubiquitin ligase COP1","4.173e-05","50","ATM, COP1, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, UBA52, UBC"
"Axon guidance","1.948e-05","427","ABL2, ACTR2, ACTR3, ARHGEF12, ARPC2, ARPC3, ARPC4, ARPC5, CAP2, CLASP2, COL9A2, CREB1, CUL2, DLG1, ELOC, FLRT3, FRS2, GFRA3, HOXA2, HSP90AA1, HSPA8, KIF4A, KRAS, MAGOHB, MAPK8, MET, MYL12A, MYL12B, MYL6, NCK1, NRAS, PIK3CA, PLXNC1, PPP3CB, PRKACB, PRNP, PSENEN, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB7, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, PTPN11, RBX1, ROCK1, ROCK2, RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS6KA3, RPS7, RPS8, RPSA, SDCBP, SEM1, SEMA3A, SIAH1, SOS1, UBA52, UBC, UPF3B, USP33, YES1"
"C-type lectin receptors (CLRs)","9.009e-03","120","CALM2, KRAS, MAP3K14, MUC16, MUC4, MUC5AC, NRAS, PPP3CB, PRKACB, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, SKP1, UBA3, UBA52, UBC, UBE2D1, UBE2D2, UBE2N"
"CDK-mediated phosphorylation and removal of Cdc6","9.864e-05","70","CCNA2, CCNE2, CDC27, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, UBA52, UBC, UBE2D1"
"CLEC7A (Dectin-1) signaling","5.329e-03","97","CALM2, MAP3K14, PPP3CB, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, SKP1, UBA3, UBA52, UBC, UBE2D1, UBE2D2, UBE2N"
"Cap-dependent Translation Initiation","8.999e-21","116","EIF1AX, EIF2B3, EIF2S2, EIF3E, EIF3H, EIF3J, EIF3M, EIF4A2, EIF4E, RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA, UBA52"
"Cdc20:Phospho-APC/C mediated degradation of Cyclin A","8.656e-06","70","BUB3, CCNA2, CDC27, CDK1, MAD2L1, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, UBA52, UBC, UBE2D1"
"Cell Cycle Checkpoints","8.880e-12","263","ABRAXAS1, AHCTF1, ATM, ATR, BLM, BRCA1, BRCC3, BUB3, CCNA2, CCNB2, CCNE2, CDC25C, CDC27, CDC7, CDK1, CENPC, CENPE, CENPF, CENPH, CENPI, CENPK, CENPL, CENPQ, CENPU, CHEK1, CLASP2, COP1, DBF4, DNA2, DSN1, DYNC1I2, ERCC6L, ITGB3BP, KIF18A, KIF2A, KNL1, MAD2L1, MCM6, MRE11, NBN, NDC80, NSL1, NUF2, NUP107, ORC3, ORC4, ORC5, PHF20, PPP1CC, PPP2CA, PPP2R1B, PPP2R5A, PPP2R5C, PPP2R5E, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RANBP2, RBBP8, RFC3, RMI1, RPA3, RPS27, RPS27A, SEH1L, SEM1, SGO2, SKA2, SPC25, SPDL1, TAOK1, TOPBP1, UBA52, UBC, UBE2D1, UBE2E1, UBE2N, UBE2V2, XPO1, YWHAQ, ZWILCH"
"Cell junction organization","4.063e-03","57","ACTB, CDH1, CLDN23, CLDN4, COL17A1, CTNNA1, FBLIM1, FERMT2, ITGA6, ITGB4, JUP, LAMA3, LAMB3, LAMC2, NECTIN2, NECTIN4, PLEC, PXN, SDK1, TESK1, VASP"
"Cell-Cell communication","1.023e-02","83","ACTB, ACTN1, ACTN4, CDH1, CLDN23, CLDN4, COL17A1, CTNNA1, FBLIM1, FERMT2, ITGA6, ITGB4, JUP, KIRREL3, LAMA3, LAMB3, LAMC2, NCK2, NECTIN2, NECTIN4, PLEC, PTK2B, PXN, SDK1, SPTAN1, TESK1, VASP"
"Cellular response to chemical stress","3.133e-03","176","BACH1, CHD9, COX1, COX11, COX14, COX16, COX2, COX20, COX3, COX5B, COX6B1, COX6C, COX7A2L, COX7B, COX7C, CUL1, CYCS, ERO1A, GPX8, HMOX2, IDH1, LRPPRC, NDUFA4, NFE2L2, NUDT2, PRDX1, PRDX3, PRDX5, PRDX6, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB10, PSMB3, PSMB7, PSMC2, PSMC6, PSMD1, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBX1, RPS27A, SCO1, SEM1, SESN1, SKP1, SKP2, SOD1, SOD2, STAP2, TACO1, TBL1XR1, TGS1, TRIM21, TXN, TXN2, UBA52, UBC, UBXN7"
"Cellular response to hypoxia","9.795e-05","70","AJUBA, CUL2, ELOC, HIGD1A, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBX1, RPS27A, SEM1, UBA52, UBC, UBE2D1, UBE2D2, UBE2D3, WTIP"
"Cellular response to starvation","3.875e-18","147","ATF2, ATP6V0B, ATP6V0E1, ATP6V1B2, ATP6V1C1, ATP6V1D, ATP6V1E1, ATP6V1G1, EIF2S2, FNIP1, LAMTOR3, LAMTOR4, MIOS, RHEB, RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA, RRAGB, RRAGD, SEH1L, SLC38A9, UBA52"
"Chromosome Maintenance","1.279e-02","109","ANKRD28, ATRX, BLM, CCNA2, CENPC, CENPH, CENPI, CENPK, CENPL, CENPQ, CENPU, CENPW, DNA2, DSCC1, H2AC6, H2AZ1, H3-3A, H3-3B, HJURP, ITGB3BP, KNL1, MIS18A, MIS18BP1, NOP10, NPM1, POLR2B, POLR2H, POLR2K, POT1, PPP6R3, PRIM1, PRIM2, RFC2, RFC3, RPA3, RSF1, SMARCA5, WRN"
"Cilium Assembly","1.882e-04","180","AKAP9, ALMS1, ARF4, ARL6, BBS7, CCP110, CCT2, CCT3, CCT4, CCT5, CCT8, CDK1, CEP152, CEP162, CEP290, CEP57, CEP70, CEP78, CEP83, CETN2, CKAP5, CNTRL, DYNC1I2, DYNC2H1, DYNC2LI1, DYNLT2, DYNLT2B, EXOC5, EXOC6, HAUS1, HAUS3, HAUS6, HSP90AA1, HSPB11, IFT52, IFT57, IFT74, IFT80, IFT88, KIF3A, LZTFL1, MAPRE1, MKKS, NEDD1, NEK2, NPHP1, PCM1, PDE6D, PLK4, RAB11A, RAB3IP, RPGRIP1L, SCLT1, SEPTIN2, TCP1, TMEM67, TNPO1, TRIP11, TTC21B, TUBB2B, WDR35"
"Class I MHC mediated antigen processing & presentation","1.411e-03","331","ASB3, ATG14, B2M, BTBD1, CANX, CDC27, CTSL, CTSS, CTSV, CUL1, CUL2, CUL5, DTX3L, ELOB, ELOC, ERAP2, FBXL13, FBXL3, FBXL4, FBXL5, FBXO22, FBXW9, GLMN, HECTD1, HERC5, HERC6, HLA-B, HMGB1, ITCH, KBTBD6, KBTBD8, KLHL13, KLHL20, KLHL5, KLHL9, LNPEP, LONRF1, LRR1, LTN1, MRC2, NEDD4, PIK3C3, PJA2, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB10, PSMB3, PSMB7, PSMC2, PSMC6, PSMD1, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBBP6, RBX1, RLIM, RNF138, RNF14, RNF25, RNF6, RNF7, RPS27A, SAR1B, SEC24A, SEC61B, SEC61G, SEM1, SIAH1, SIAH2, SKP1, SKP2, SMURF2, TLR1, TLR2, TPP2, TRIM21, TRIM69, TRIP12, UBA3, UBA5, UBA52, UBA6, UBC, UBE2D1, UBE2D2, UBE2D3, UBE2E1, UBE2F, UBE2G1, UBE2J1, UBE2K, UBE2N, UBE2V2, UBE2W, UBE3A, UBE3D, UBR1, UBR2, UFL1, VAMP3, WWP1, ZNRF2"
"Complex I biogenesis","1.323e-03","56","COA1, ND4, NDUFA1, NDUFA5, NDUFA8, NDUFA9, NDUFAF1, NDUFAF2, NDUFAF4, NDUFAF5, NDUFAF6, NDUFAF7, NDUFB1, NDUFB2, NDUFB3, NDUFB5, NDUFB6, NDUFC1, NDUFC2, NDUFS3, NDUFS4, NDUFS5, NUBPL, TMEM126B"
"Cristae formation","3.489e-03","31","APOO, APOOL, ATP5F1B, ATP5F1C, ATP5F1E, ATP5MC1, ATP5MC2, ATP5MC3, ATP5ME, ATP5MG, ATP5PB, ATP5PD, ATP5PF, ATP5PO, ATP6, CHCHD3, HSPA9, MICOS13, MTX1, MTX2, SAMM50"
"Cross-presentation of soluble exogenous antigens (endosomes)","4.902e-04","44","MRC2, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, SEM1"
"Cyclin A:Cdk2-associated events at S phase entry","4.382e-04","84","CCNA2, CCNE2, CDK7, CKS1B, LIN9, MNAT1, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, RB1, RPS27A, SEM1, SKP1, SKP2, TFDP2, UBA52, UBC"
"Cyclin E associated events during G1/S transition ","3.244e-04","82","CCNA2, CCNE2, CDK7, CKS1B, LIN9, MNAT1, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, RB1, RPS27A, SEM1, SKP1, SKP2, TFDP2, UBA52, UBC"
"Cytoprotection by HMOX1","4.014e-02","57","BACH1, CHD9, COX1, COX11, COX14, COX16, COX2, COX20, COX3, COX5B, COX6B1, COX6C, COX7A2L, COX7B, COX7C, CYCS, HMOX2, LRPPRC, NDUFA4, NFE2L2, SCO1, STAP2, TACO1, TBL1XR1, TGS1"
"DNA Double-Strand Break Repair","3.584e-02","140","ATM, ATR, BLM, BRCA1, BRCA2, BRCC3, CCNA2, DNA2, GEN1, MRE11, NBN, POLH, POLQ, PPP4R2, PRKDC, RAD51AP1, RAD51B, RAD51C, RBBP8, RFC3, RIF1, RMI1, RPA3, RPS27A, SEM1, SMARCA5, SUMO1, SUMO2, TOPBP1, UBC, UBE2N, UBE2V2, XRCC4, XRCC5"
"DNA Repair","1.534e-02","296","AQR, ASCC1, ASCC3, ATM, ATR, BLM, BRCA1, BRCA2, BRCC3, CCNA2, CDK7, CETN2, COPS2, COPS4, COPS5, CUL4B, DNA2, ERCC8, FANCB, FANCL, FANCM, GEN1, H2AZ1, HMGN1, INO80D, ISY1, MNAT1, MRE11, MSH2, NBN, NEIL1, NEIL3, PCLAF, POLH, POLQ, POLR2H, POLR2K, POT1, PPP4R2, PRKDC, RAD51AP1, RAD51B, RAD51C, RBBP8, RBX1, REV3L, RFC3, RIF1, RMI1, RPA3, RPS27A, SEM1, SMARCA5, SUMO1, SUMO2, TCEA1, TDG, TOPBP1, UBC, UBE2N, UBE2T, UBE2V2, USP1, XRCC4, XRCC5"
"DNA Replication","7.641e-04","146","CCNA2, CCNE2, CDC27, CDC7, CUL1, DBF4, DNA2, GINS4, GMNN, H2AC6, H2AZ1, H3-3A, H3-3B, MCM6, ORC3, ORC4, ORC5, PRIM1, PRIM2, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB7, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBX1, RFC3, RPA3, RPS27A, SEM1, SKP1, SKP2, UBA52, UBC, UBE2D1, UBE2E1"
"DNA Replication Pre-Initiation","9.531e-03","121","CDC27, CDC7, DBF4, GMNN, H2AZ1, H3-3A, MCM6, ORC3, ORC4, ORC5, PRIM1, PRIM2, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, RPA3, RPS27A, SEM1, UBA52, UBC, UBE2D1"
"Dectin-1 mediated noncanonical NF-kB signaling","1.508e-04","58","MAP3K14, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, SKP1, UBA3, UBA52, UBC"
"Defective CFTR causes cystic fibrosis","1.255e-04","57","PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RNF185, RPS27A, SEM1, UBA52, UBC"
"Defective HDR through Homologous Recombination (HRR) due to BRCA1 loss-of-function","1.403e-05","25","ATM, BLM, BRCA1, BRCA2, DNA2, MRE11, NBN, RAD51AP1, RAD51B, RAD51C, RBBP8, RMI1, SEM1"
"Defective HDR through Homologous Recombination (HRR) due to PALB2 loss of function","1.403e-05","25","ATM, BLM, BRCA1, BRCA2, DNA2, MRE11, NBN, RAD51AP1, RAD51B, RAD51C, RBBP8, RMI1, SEM1"
"Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function","1.403e-05","25","ATM, BLM, BRCA1, BRCA2, DNA2, MRE11, NBN, RAD51AP1, RAD51B, RAD51C, RBBP8, RMI1, SEM1"
"Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function","1.403e-05","25","ATM, BLM, BRCA1, BRCA2, DNA2, MRE11, NBN, RAD51AP1, RAD51B, RAD51C, RBBP8, RMI1, SEM1"
"Defective homologous recombination repair (HRR) due to BRCA2 loss of function","1.614e-05","41","ATM, ATR, BLM, BRCA1, BRCA2, DNA2, MRE11, NBN, RAD51AP1, RAD51B, RAD51C, RBBP8, RFC3, RMI1, RPA3, SEM1, TOPBP1"
"Degradation of AXIN","6.504e-04","53","PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB7, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, SMURF2, TNKS, TNKS2, UBA52, UBC"
"Degradation of DVL","1.796e-03","55","PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBX1, RPS27A, SEM1, UBA52, UBC"
