"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"Fc epsilon receptor (FCERI) signaling","1.947e-02","105","Calm2, Calm3, Fcer1g, Fos, Hras, Ikbkb, Lyn, Map2k4, Mapk8, Pik3r1, Plcg1, Ppp3r1, Psma2, Psma3, Psma6, Psmb3, Psmb4, Psmb5, Psmb6, Psmc2, Psmc5, Psmd10, Psmd3, Psmd8, Psmf1, Rela, Syk, Tab2, Tec, Vav1"
"GTP hydrolysis and joining of the 60S ribosomal subunit","1.947e-02","24","Eif2s1, Eif3a, Eif3b, Eif3c, Eif3d, Eif3e, Eif3i, Eif3l, Eif4a1, Eif4a2, Eif4b, Eif4e, Eif4g1, Eif4h, Eif5, Eif5b"
"Respiratory electron transport","2.491e-02","82","Acad9, Cox14, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7c, Cox8a, Cyc1, Etfa, Etfdh, Ndufa10, Ndufa12, Ndufa2, Ndufa4, Ndufa9, Ndufaf7, Ndufb4, Ndufb7, Ndufb9, Ndufc2, Ndufs2, Ndufs3, Ndufs5, Ndufs8, Ndufv1, Nubpl, Timmdc1, Uqcrc1, Uqcrq"
"Transport of Mature Transcript to Cytoplasm","3.151e-02","74","Alyref, Chtop, Cpsf1, Cpsf2, Ddx39b, Eif4a3, Eif4e, Fip1l1, Gle1, Magoh, Ncbp1, Nup133, Nup153, Nup155, Nup160, Nup214, Nup54, Nup88, Nup98, Nupl2, Nxf1, Sarnp, Sec13, Seh1l, Srrm1, Srsf2, Srsf5, Srsf7, Sympk, Thoc2, Thoc3, U2af1, U2af1l4, Wdr33"
"Degradation of AXIN","3.181e-02","49","Axin1, Axin2, Psma2, Psma3, Psma6, Psmb3, Psmb4, Psmb5, Psmb6, Psmc2, Psmc5, Psmd10, Psmd3, Psmd8, Psmf1, Rnf146"
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","3.357e-02","24","Eif2s1, Eif3a, Eif3b, Eif3c, Eif3d, Eif3e, Eif3i, Eif3l, Eif4a1, Eif4a2, Eif4b, Eif4e, Eif4g1, Eif4h"
"Ribosomal scanning and start codon recognition","3.625e-02","23","Eif2s1, Eif3a, Eif3b, Eif3c, Eif3d, Eif3e, Eif3i, Eif3l, Eif4a1, Eif4a2, Eif4b, Eif4e, Eif4g1, Eif4h, Eif5"
"L13a-mediated translational silencing of Ceruloplasmin expression","3.648e-02","23","Eif2s1, Eif3a, Eif3b, Eif3c, Eif3d, Eif3e, Eif3i, Eif3l, Eif4a1, Eif4a2, Eif4b, Eif4e, Eif4g1, Eif4h"
"Translation initiation complex formation","3.648e-02","23","Eif2s1, Eif3a, Eif3b, Eif3c, Eif3d, Eif3e, Eif3i, Eif3l, Eif4a1, Eif4a2, Eif4b, Eif4e, Eif4g1, Eif4h"
"Metabolism of polyamines","4.205e-02","53","Oaz1, Oaz2, Odc1, Paox, Psma2, Psma3, Psma6, Psma7, Psmb3, Psmb4, Psmb5, Psmb6, Psmc1, Psmc2, Psmc3, Psmc5, Psmd10, Psmd11, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Sat1, Sms"
"Recycling pathway of L1","4.296e-02","26","Actg1, Ap2a1, Ap2b1, Ap2m1, Ap2s1, Ezr, Kif4, Msn, Numb, Tuba1c, Tuba4a, Tubb2b, Tubb4b"
"Regulation of ornithine decarboxylase (ODC)","4.322e-02","47","Oaz1, Oaz2, Odc1, Psma2, Psma3, Psma6, Psma7, Psmb3, Psmb4, Psmb5, Psmb6, Psmc1, Psmc2, Psmc3, Psmc5, Psmd10, Psmd11, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1"
"Cellular response to chemical stress","4.430e-02","142","Alb, Cox14, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7c, Cox8a, Cyba, Ep300, Gpx1, Gpx2, Gpx8, Gstp1, H13, Hdac3, Hmox1, Mul1, Ncf1, Ncf2, Ncf4, Ncor2, Ndufa4, Nfe2l2, Nudt2, Prdx2, Prdx5, Prdx6, Psma2, Psma3, Psma6, Psma7, Psmb3, Psmb4, Psmb5, Psmb6, Psmc2, Psmc3, Psmc5, Psmd10, Psmd11, Psmd3, Psmd6, Psmd8, Psme3, Psmf1, Sin3a, Txn1, Txn2, Txnrd2, Vcp"
"Degradation of beta-catenin by the destruction complex","4.430e-02","69","Axin1, Ctbp2, Ctnnb1, Cul1, Frat1, Frat2, Ppp2cb, Ppp2r5a, Psma2, Psma3, Psma6, Psma7, Psmb3, Psmb4, Psmb5, Psmb6, Psmc1, Psmc2, Psmc3, Psmc5, Psmd10, Psmd11, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Tcf7l1, Tle1, Tle2, Tle3, Tle4"
"Downstream signaling events of B Cell Receptor (BCR)","4.430e-02","68","Bcl10, Calm2, Calm3, Cul1, Fkbp1a, Hras, Ikbkb, Nfkbib, Ppp3ca, Ppp3r1, Psma2, Psma3, Psma6, Psma7, Psmb3, Psmb4, Psmb5, Psmb6, Psmc1, Psmc2, Psmc3, Psmc5, Psmd10, Psmd11, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rasgrp1, Rela"
"PCP/CE pathway","4.430e-02","78","Ap2a1, Ap2b1, Ap2m1, Ap2s1, Cltb, Daam1, Fzd3, Fzd4, Fzd6, Fzd7, Pard6a, Pfn1, Psma2, Psma3, Psma6, Psma7, Psmb3, Psmb4, Psmb5, Psmb6, Psmc1, Psmc2, Psmc3, Psmc5, Psmd10, Psmd11, Psmd3, Psmd4, Psmd6, Psmd8, Psme3, Psmf1, Rhoa, Wnt5a"
"RND1 GTPase cycle","4.430e-02","40","Arhgap35, Cav1, Dlg5, Dst, Epha2, Epsti1, Fam83b, Flot2, Frs2, Frs3, Grb7, Kidins220, Muc13, Pik3r1, Pkp4, Plekhg5, Rras2, Stip1, Tmem59, Vangl1, Vangl2, Wdr6"
"Signaling by WNT","4.430e-02","189","Ap2a1, Ap2b1, Ap2m1, Ap2s1, Axin1, Axin2, Bcl9, Bcl9l, Calm2, Calm3, Cav1, Cdc73, Cltb, Csnk1e, Csnk2a1, Ctbp2, Ctnnb1, Daam1, Ep300, Frat1, Frat2, Fzd3, Fzd4, Fzd6, Gnb1, Gng10, Gng5, Hdac1, Pfn1, Pip5k1b, Ppp2cb, Ppp3r1, Psma2, Psma3, Psma6, Psma7, Psmb3, Psmb4, Psmb5, Psmb6, Psmc2, Psmc5, Psmd10, Psmd3, Psmd6, Psmd8, Psmf1, Pygo2, Rhoa, Rnf146, Ryk, Sox2, Sox9, Tle1, Xpo1"
"Transport of Mature mRNA Derived from an Intronless Transcript","4.430e-02","39","Alyref, Cpsf1, Cpsf2, Eif4e, Fip1l1, Ncbp1, Nup133, Nup153, Nup155, Nup160, Nup214, Nup54, Nup88, Nup98, Nupl2, Nxf1, Sec13, Seh1l, Sympk, Wdr33"
"Ubiquitin Mediated Degradation of Phosphorylated Cdc25A","4.430e-02","46","Cdc25a, Chek2, Psma2, Psma3, Psma6, Psma7, Psmb3, Psmb4, Psmb5, Psmb6, Psmc1, Psmc2, Psmc3, Psmc5, Psmd10, Psmd11, Psmd3, Psmd4, Psmd6, Psmd8, Psme3, Psmf1"
"Ubiquitin-dependent degradation of Cyclin D","4.430e-02","45","Cdk4, Psma2, Psma3, Psma6, Psma7, Psmb3, Psmb4, Psmb5, Psmb6, Psmc1, Psmc2, Psmc3, Psmc5, Psmd10, Psmd11, Psmd3, Psmd4, Psmd6, Psmd8, Psme3, Psmf1"
"p53-Independent DNA Damage Response","4.430e-02","46","Cdc25a, Chek2, Psma2, Psma3, Psma6, Psma7, Psmb3, Psmb4, Psmb5, Psmb6, Psmc1, Psmc2, Psmc3, Psmc5, Psmd10, Psmd11, Psmd3, Psmd4, Psmd6, Psmd8, Psme3, Psmf1"
"p53-Independent G1/S DNA damage checkpoint","4.430e-02","46","Cdc25a, Chek2, Psma2, Psma3, Psma6, Psma7, Psmb3, Psmb4, Psmb5, Psmb6, Psmc1, Psmc2, Psmc3, Psmc5, Psmd10, Psmd11, Psmd3, Psmd4, Psmd6, Psmd8, Psme3, Psmf1"
"Transport of Mature mRNAs Derived from Intronless Transcripts","4.680e-02","40","Alyref, Cpsf1, Cpsf2, Eif4e, Fip1l1, Ncbp1, Nup133, Nup153, Nup155, Nup160, Nup214, Nup54, Nup88, Nup98, Nupl2, Nxf1, Sec13, Seh1l, Sympk, Wdr33"
"Nuclear events mediated by NFE2L2","4.717e-02","47","Ep300, Nfe2l2, Psma2, Psma3, Psma6, Psma7, Psmb3, Psmb4, Psmb5, Psmb6, Psmc1, Psmc2, Psmc3, Psmc5, Psmd10, Psmd11, Psmd3, Psmd4, Psmd6, Psmd8, Psme3, Psmf1"
"Complement cascade","4.734e-02","24","C1qa, C5ar1, Cd81, Cfi, Cfp, Clu, Cpn1, Cr1l, Fcna"
"Cytosolic sensors of pathogen-associated DNA ","4.734e-02","24","Ctnnb1, Ddx41, Dhx9, Dtx4, Ep300, Ikbkb, Irf3, Irf7, Mre11a, Nfkb1, Nfkb2, Nfkbib, Nkiras1, Nkiras2, Rela, Stat6, Tbk1, Trim32, Trim56, Ubc"
"TCF dependent signaling in response to WNT","4.734e-02","128","Akt2, Axin1, Axin2, Bcl9, Bcl9l, Cav1, Cdc73, Csnk1e, Csnk2a1, Ctnnb1, Ep300, Frat1, Frat2, Fzd4, Fzd6, Hdac1, Kremen2, Leo1, Lgr4, Pip5k1b, Ppp2cb, Ppp2r5a, Psma2, Psma3, Psma6, Psma7, Psmb3, Psmb4, Psmb5, Psmb6, Psmc1, Psmc2, Psmc3, Psmc5, Psmd10, Psmd11, Psmd3, Psmd4, Psmd6, Psmd8, Psme3, Psmf1, Pygo2, Rnf146, Ryk, Sox2, Sox4, Sox9, Tle1, Tle2, Tle4, Wnt5a, Xpo1, Ywhaz"
"Cellular response to heat stress","4.739e-02","75","Akt1s1, Bag1, Bag2, Bag3, Bag4, Dnajb6, Eef1a1, Ep300, Fkbp4, Hsbp1, Hsp90aa1, Hspa13, Hspa5, Hspa8, Hspa9, Mapkapk2, Nup133, Nup153, Nup155, Nup160, Nup214, Nup54, Nup88, Nup98, Nupl2, Rpa3, Sec13, Seh1l, Sirt1, Vcp, Ywhae"
"Detoxification of Reactive Oxygen Species","4.769e-02","29","Cyba, Gpx1, Gpx2, Gpx8, Gstp1, Ncf1, Ncf2, Ncf4, Nudt2, Prdx2, Prdx5, Prdx6, Txn1, Txn2, Txnrd2"
