"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers","3.902e-02","24","Blnk, Cd19, Cd79a, Cd79b, Dapp1, Grb2, Igll1, Itpr2, Itpr3, Nck1, Plcg2, Ptpn6, Sos1, Syk, Vav1"
"Collagen biosynthesis and modifying enzymes","3.902e-02","60","Adamts2, Bmp1, Col11a2, Col12a1, Col15a1, Col1a2, Col27a1, Col28a1, Col3a1, Col4a4, Col5a3, Col6a5, Col7a1, Col8a1, Col9a3, P3h3, P4ha1, P4ha2, P4hb, Pcolce, Pcolce2, Plod1, Plod3, Ppib, Serpinh1"
"G alpha (12/13) signalling events","3.902e-02","68","Abr, Akap13, Arhgef10, Arhgef16, Arhgef18, Arhgef2, Arhgef38, Arhgef7, Fgd2, Fgd4, Gna12, Gna13, Gng10, Gng13, Gng2, Kalrn, Plekhg5, Rasgrf2, Rhob, Rock1, Sos1, Trio, Vav1, Vav2"
"Death Receptor Signalling","4.020e-02","116","Abr, Adam17, Akap13, Aph1a, Arhgdia, Arhgef10, Arhgef16, Arhgef18, Arhgef2, Arhgef38, Arhgef7, Bcl2l11, Casp3, Casp8, Cyld, Fgd2, Fgd4, Gna13, Ikbkg, Kalrn, Madd, Nsmaf, Omg, Otud7b, Plekhg5, Rasgrf2, Sos1, Sppl2a, Tax1bp1, Traf2, Trio, Usp21, Vav1, Vav2, Xiap, Ywhae"
"Metabolism of carbohydrates","4.020e-02","248","Abcc5, Abo, Acan, Akr1a1, Akr1b3, Aldob, Aldoc, B3galt1, B3galt4, B3galt5, B3gat3, B3gnt2, B4galt3, B4galt4, B4galt5, Bgn, Bpgm, Calm1, Chst1, Chst11, Chst12, Chst3, Chst5, Chsy3, Csgalnact2, Fbp2, Fut2, Fut4, Fut7, G6pdx, Gaa, Gale, Galk1, Galt, Gck, Gnpda1, Gnpda2, Gns, Got2, Gusb, Gys1, Hgsnat, Hs3st1, Hs6st3, Hyal1, Kera, Khk, Lyve1, Man2b1, Man2b2, Man2c1, Manba, Mdh2, Ndst3, Nup210, Nup35, Nup54, Nup88, Papss1, Papss2, Pfkfb2, Pfkfb3, Pfkl, Pfkp, Pgk1, Pgk2, Pgm1, Phka2, Phkb, Phkg2, Pkm, Pygl, Ranbp2, Rpia, Sec13, Seh1l, Sgsh, Slc25a1, Slc25a10, Slc26a2, Slc35b3, Slc37a1, Slc9a1, St3gal1, St3gal3, St3gal4, St3gal6, Tkfc, Tpi1, Ugp2, Xylt1"
"Synthesis of substrates in N-glycan biosythesis","4.020e-02","60","Dolk, Dpm2, Fcsk, Gfpt2, Mpi, Mvd, Nanp, Neu1, Nudt14, Nus1, Pmm2, Renbp, Slc35a1, Slc35c1, St3gal1, St3gal3, St3gal4, St3gal6, St6gal1, St6gal2, St6galnac1, St6galnac2, St8sia1, St8sia2, St8sia3, St8sia6, Uap1"
"RHOF GTPase cycle","4.081e-02","36","Actn1, Add3, Arhgap1, Arhgap12, Arhgap21, Arhgap39, Baiap2l1, Diaph1, Esyt1, Farp1, Steap3, Vangl1"
"Interleukin-3, Interleukin-5 and GM-CSF signaling","4.911e-02","36","Crk, Grb2, Hck, Il2ra, Inpp5d, Inppl1, Jak2, Pik3r3, Ptpn6, Rapgef1, Shc1, Sos1, Stat5a, Stat5b, Syk, Tec, Vav1"
"Intra-Golgi and retrograde Golgi-to-ER traffic","4.911e-02","176","Alpi, Arcn1, Arf3, Arfgap2, Arfgap3, Arl1, Bicd1, Cog4, Copa, Cope, Copg1, Copz1, Cyth3, Cyth4, Dctn1, Dctn2, Dync1h1, Dync1i2, Dync1li2, Dynll2, Galnt1, Galnt2, Gbf1, Gcc1, Kdelr3, Kif18a, Kif18b, Kif1b, Kif20b, Kif21b, Kif26b, Kif5b, Kifc1, Klc4, Nbas, Nsf, Pafah1b1, Pafah1b2, Pla2g4a, Plin3, Rab1a, Rab43, Rabepk, Rgp1, Rhobtb3, Snap29, Stx16, Stx5a, Surf4, Tgoln1, Tmed2, Tmed3, Tmed7, Tuba1a, Tuba1b, Tubal3, Tubb4a, Tubb4b, Tubb6, Vps45, Vps51, Vps52, Vps54"
"Ion transport by P-type ATPases","4.911e-02","52","Atp13a2, Atp1b1, Atp2a3, Atp2b1, Atp2c1, Atp4a, Atp4b, Atp8b1, Atp9a, Atp9b, Calm1, Camk2a, Camk2b, Camk2d, Fxyd6, Sri"
