"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"Beta-catenin independent WNT signaling","3.605e-07","105","Ap2s1, Calm1, Calm2, Cltb, Cltc, Daam1, Dvl2, Dvl3, Fzd1, Gnb1, Gnb2, Gng12, Kras, Nlk, Pfn1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rac1, Rhoa, Smurf1, Ubc"
"Degradation of DVL","3.835e-07","50","Dvl2, Dvl3, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"Asymmetric localization of PCP proteins","5.952e-07","56","Dvl2, Fzd1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Smurf1, Ubc"
"Membrane Trafficking","5.952e-07","479","Actg1, Actr2, Actr3, Akt1, Ankrd28, Ap1b1, Ap1g1, Ap1g2, Ap2s1, Arcn1, Areg, Arf1, Arf3, Arf4, Arf5, Arf6, Arpc1a, Arpc2, Arpc5, Bloc1s4, Bloc1s6, Bnip1, Capzb, Cd55, Chmp2a, Chmp2b, Chmp3, Chmp4b, Chmp4c, Chmp5, Cltb, Cltc, Copa, Copb1, Cope, Copg1, Cops4, Cops6, Cops7a, Copz1, Cpd, Ctsz, Cyth1, Cyth2, Dctn2, Dctn3, Dctn5, Dctn6, Dennd6a, Dvl2, Dync1i2, Dynll1, Dynll2, Epn1, Gabarap, Gabarapl2, Galnt1, Galnt2, Gbf1, Gdi2, Gjb1, Golga2, Grb2, Hbegf, Hip1r, Hspa8, Igf2r, Kdelr1, Kdelr2, Kif13b, Kif16b, Kif1c, Klc4, Ldlr, Ldlrap1, Lman1, Lman2, Lrp2, Map1lc3b, Mia3, Mvb12b, Napg, Necap2, Nedd8, Pacsin3, Pik3c2a, Pla2g6, Ppp6c, Ppp6r1, Rab10, Rab11a, Rab14, Rab18, Rab1a, Rab1b, Rab21, Rab27a, Rab27b, Rab3a, Rab43, Rab5c, Rab7, Rab8a, Rabepk, Rabgef1, Sec24b, Sec24d, Sh3gl2, Sh3kbp1, Snf8, Snx2, Snx9, Src, Ston1, Ston2, Stx4a, Stx6, Surf4, Sys1, Tbc1d10b, Tbc1d13, Tbc1d2, Tbc1d20, Tbc1d25, Tfg, Tgfa, Tgoln1, Tjp1, Tmed10, Tmed2, Tmed7, Tmed9, Tmem115, Tor1a, Tpd52, Trappc10, Trappc4, Trappc6a, Trip10, Tuba1c, Tuba4a, Tubb2a, Tubb4b, Txndc5, Ubc, Ubqln1, Ulk1, Usp6nl, Vamp3, Vamp8, Vps37b, Vps4b, Zw10"
"Regulation of RUNX3 expression and activity","6.689e-07","49","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Smurf1, Src, Ubc"
"The role of GTSE1 in G2/M progression after G2 checkpoint","6.689e-07","64","Ccnb2, Cdkn1a, Fkbpl, Hsp90aa1, Hsp90ab1, Mapre1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Tuba1c, Tuba4a, Tubb2a, Tubb4b, Ubc"
"Developmental Biology","7.572e-07","295","Actg1, Actr2, Actr3, Akt1, Ap2s1, Arpc1b, Arpc5, Cdc42, Cdk2, Cdkn1a, Csnk2a1, Csnk2b, Ctnna1, Dag1, Dok1, Dok4, Dsc2, Dsg2, Dsp, Efna1, Efna5, Efnb1, Epha1, Epha2, Ephb3, Evl, Evpl, Ezr, Foxo3, Grb7, Hsp90aa1, Hsp90ab1, Irs2, Itga5, Jup, Krt18, Krt19, Krt20, Krt23, Krt7, Krt78, Krt8, Krt80, Limk1, Lypla2, Map2k1, Map2k2, Mapk3, Mapk8, Mef2d, Nck2, Pak2, Perp, Pfn1, Pik3cb, Pik3r2, Plxnd1, Psenen, Rac1, Rasa1, Rhoa, Rhob, Rptn, Rxra, Sema3e, Sema4a, Sh3gl2, Sh3kbp1, Slit3, Src, Tcf4, Tuba1c, Tubb2a, Tubb4b, Ubc, Vasp"
"GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2","7.572e-07","46","Nfe2l2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"MAPK6/MAPK4 signaling","7.572e-07","63","Ccnd3, Cdc42, Etv4, Foxo3, Pak2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rac1, Ubc"
"Regulation of ornithine decarboxylase (ODC)","7.572e-07","47","Oaz1, Odc1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1"
"Dectin-1 mediated noncanonical NF-kB signaling","7.703e-07","50","Map3k14, Nfkb2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Ube2m"
"NIK-->noncanonical NF-kB signaling","7.703e-07","50","Map3k14, Nfkb2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Ube2m"
"Degradation of AXIN","8.967e-07","49","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Tnks, Ubc"
"Hedgehog ligand biogenesis","8.967e-07","54","Derl2, P4hb, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Vcp"
"Degradation of GLI1 by the proteasome","1.071e-06","49","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"AUF1 (hnRNP D0) binds and destabilizes mRNA","1.209e-06","50","Eif4g1, Hspa1b, Hspa8, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"Nuclear events mediated by NFE2L2","1.310e-06","47","Nfe2l2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha","1.319e-06","60","Egln2, Egln3, Elob, Epas1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Wtip"
"Ubiquitin Mediated Degradation of Phosphorylated Cdc25A","1.319e-06","46","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"p53-Independent DNA Damage Response","1.319e-06","46","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"p53-Independent G1/S DNA damage checkpoint","1.319e-06","46","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"KEAP1-NFE2L2 pathway","1.379e-06","68","Akt1, Mafk, Map1lc3b, Nfe2l2, Prdx1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Sqstm1, Srxn1, Ubc, Vcp"
"Cross-presentation of soluble exogenous antigens (endosomes)","1.491e-06","45","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1"
"Autodegradation of the E3 ubiquitin ligase COP1","1.501e-06","46","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"FBXL7 down-regulates AURKA during mitotic entry and in early mitosis","2.260e-06","47","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"UCH proteinases","2.608e-06","72","Actg1, Asxl2, Ino80c, Mbd6, Nedd8, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Uchl3, Yy1"
"Metabolism of polyamines","4.064e-06","54","Oaz1, Odc1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1"
"p53-Dependent G1 DNA Damage Response","5.834e-06","56","Ccna2, Cdk2, Cdkn1a, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"p53-Dependent G1/S DNA damage checkpoint","5.834e-06","56","Ccna2, Cdk2, Cdkn1a, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"Activation of NF-kappaB in B cells","6.496e-06","56","Nfkbia, Nfkbib, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"G1/S DNA Damage Checkpoints","7.297e-06","58","Ccna2, Cdk2, Cdkn1a, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"Regulation of mRNA stability by proteins that bind AU-rich elements","8.138e-06","77","Akt1, Anp32a, Eif4g1, Hspa1b, Hspa8, Mapkapk2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Set, Tnpo1, Ubc, Ywhab, Ywhaz"
"Stabilization of p53","8.138e-06","50","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"Ubiquitin-dependent degradation of Cyclin D","9.942e-06","45","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"Degradation of beta-catenin by the destruction complex","1.446e-05","69","Ctbp2, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r5b, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"TP53 Regulates Metabolic Genes","1.561e-05","65","Akt1, Cox14, Cox19, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, G6pdx, Gpx2, Gsr, Lamtor3, Prdx1, Prdx2, Prdx5, Rheb, Rraga, Rragc, Sco2, Sfn, Tigar, Txn1, Ywhab, Ywhah, Ywhaz"
"Regulation of PTEN stability and activity","1.567e-05","62","Akt1, Csnk2a1, Csnk2b, Nedd4, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Tnks, Ubc"
"SCF(Skp2)-mediated degradation of p27/p21","1.682e-05","53","Ccna2, Cdk2, Cdkn1a, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"GLI3 is processed to GLI3R by the proteasome","1.685e-05","50","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"Regulation of RAS by GAPs","2.006e-05","61","Kbtbd7, Kras, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rasa1, Ubc"
"Cyclin E associated events during G1/S transition ","3.274e-05","63","Akt1, Ccna2, Cdk2, Cdkn1a, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Wee1"
"Cellular response to hypoxia","3.513e-05","64","Egln2, Egln3, Elob, Epas1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Wtip"
"ER to Golgi Anterograde Transport","3.513e-05","129","Ankrd28, Arcn1, Areg, Arf1, Arf3, Arf4, Arf5, Capzb, Cd55, Cog2, Copa, Copb1, Cope, Copg1, Copz1, Ctsz, Dctn2, Dctn3, Dctn5, Dctn6, Dync1i2, Dynll1, Dynll2, Gbf1, Golga2, Kdelr1, Kdelr2, Lman1, Lman2, Lman2l, Mia3, Napg, Ppp6c, Ppp6r1, Rab1a, Rab1b, Sar1b, Sec24b, Sec24d, Tbc1d20, Tfg, Tgfa, Tmed10, Tmed2, Tmed7, Tmed9, Tmem115, Trappc10, Trappc4, Trappc6a, Tuba1c, Tuba4a, Tubb2a, Tubb4b"
