"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"Cellular response to hypoxia","4.736e-02","66","Egln1, Egln2, Egln3, Elob, Epas1, Limd1, Psma4, Psma6, Psma7, Psmb10, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc1, Psmc2, Psmc5, Psmd10, Psmd11, Psmd13, Psmd4, Psme1, Psme2b, Psme3, Psmf1, Ubc"
"Degradation of GLI1 by the proteasome","4.736e-02","51","Psma4, Psma6, Psma7, Psmb10, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc1, Psmc2, Psmc5, Psmd10, Psmd11, Psmd13, Psmd4, Psme1, Psme2b, Psme3, Psmf1, Sufu, Ubc"
"FBXL7 down-regulates AURKA during mitotic entry and in early mitosis","4.736e-02","49","Psma4, Psma6, Psma7, Psmb10, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc1, Psmc2, Psmc5, Psmd10, Psmd11, Psmd13, Psmd4, Psme1, Psme2b, Psme3, Psmf1, Ubc"
"GLI3 is processed to GLI3R by the proteasome","4.736e-02","52","Psma4, Psma6, Psma7, Psmb10, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc1, Psmc2, Psmc5, Psmd10, Psmd11, Psmd13, Psmd4, Psme1, Psme2b, Psme3, Psmf1, Sufu, Ubc"
"Major pathway of rRNA processing in the nucleolus and cytosol","4.736e-02","86","Bms1, Bop1, Bysl, Dcaf13, Ddx21, Ddx47, Ddx52, Emg1, Exosc1, Exosc10, Exosc2, Exosc4, Exosc5, Exosc7, Exosc8, Fbl, Gnl3, Heatr1, Imp4, Isg20l2, Krr1, Las1l, Mphosph10, Noc4l, Nol6, Nop56, Nop58, Pdcd11, Pwp2, Riok1, Riok2, Riok3, Rpp14, Rpp30, Rpp40, Senp3, Tex10, Utp14a, Utp14b, Utp18, Utp25, Utp4, Wdr12, Wdr18, Wdr3, Wdr43, Wdr75"
"Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha","4.736e-02","62","Egln1, Egln2, Egln3, Elob, Epas1, Limd1, Psma4, Psma6, Psma7, Psmb10, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc1, Psmc2, Psmc5, Psmd10, Psmd11, Psmd13, Psmd4, Psme1, Psme2b, Psme3, Psmf1, Ubc"
"RHO GTPases activate PKNs","4.736e-02","21","Ppp1r12a, Rac1, Rhoa, Rhob, Sfn, Ywhab, Ywhag, Ywhah, Ywhaz"
"rRNA processing","4.736e-02","86","Bms1, Bop1, Bysl, Dcaf13, Ddx21, Ddx47, Ddx52, Emg1, Exosc1, Exosc10, Exosc2, Exosc4, Exosc5, Exosc7, Exosc8, Fbl, Gnl3, Heatr1, Imp4, Isg20l2, Krr1, Las1l, Mphosph10, Noc4l, Nol6, Nop56, Nop58, Pdcd11, Pwp2, Riok1, Riok2, Riok3, Rpp14, Rpp30, Rpp40, Senp3, Tex10, Utp14a, Utp14b, Utp18, Utp25, Utp4, Wdr12, Wdr18, Wdr3, Wdr43, Wdr75"
"rRNA processing in the nucleus and cytosol","4.736e-02","86","Bms1, Bop1, Bysl, Dcaf13, Ddx21, Ddx47, Ddx52, Emg1, Exosc1, Exosc10, Exosc2, Exosc4, Exosc5, Exosc7, Exosc8, Fbl, Gnl3, Heatr1, Imp4, Isg20l2, Krr1, Las1l, Mphosph10, Noc4l, Nol6, Nop56, Nop58, Pdcd11, Pwp2, Riok1, Riok2, Riok3, Rpp14, Rpp30, Rpp40, Senp3, Tex10, Utp14a, Utp14b, Utp18, Utp25, Utp4, Wdr12, Wdr18, Wdr3, Wdr43, Wdr75"
"ER to Golgi Anterograde Transport","4.764e-02","140","Actr1a, Arcn1, Arf1, Arf4, Arf5, Arfgap3, Capzb, Copa, Copb2, Cope, Copg1, Copz1, Ctsz, Dctn1, Dctn3, Dctn5, Dctn6, Dync1h1, Dync1li1, Dynll1, Dynll2, Golgb1, Gosr1, Lman2, Mia3, Napg, Ppp6r1, Rab1a, Sar1b, Sec16a, Sec24b, Sptbn2, Tbc1d20, Tfg, Tgfa, Tmed10, Tmed2, Tmed7, Tmed9, Tmem115, Trappc10, Trappc3, Trappc6a, Tuba1c, Tuba4a, Tubb2a, Tubb4b"
"Cross-presentation of soluble exogenous antigens (endosomes)","4.910e-02","48","Mrc2, Psma4, Psma6, Psma7, Psmb10, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc1, Psmc2, Psmc5, Psmd10, Psmd11, Psmd13, Psmd4, Psme1, Psme2b, Psme3, Psmf1"
