"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"Keratinization","3.042e-04","109","Cdsn, Dsc1, Dsc2, Dsc3, Dsg3, Dsp, Evpl, Jup, Kazn, Klk13, Krt1, Krt10, Krt13, Krt15, Krt16, Krt4, Krt5, Krt80, Lipm, Perp, Pkp1, Pkp2, Pkp3, Ppl, Spink5, Tgm1"
"Fc epsilon receptor (FCERI) signaling","7.534e-04","113","Bcl10, Calm3, Cul1, Fbxw11, Fos, Ikbkb, Jun, Kras, Lat, Lcp2, Map2k7, Mapk1, Mapk9, Ms4a2, Nfkbia, Pak2, Pdpk1, Pik3ca, Pik3r1, Pik3r2, Psma4, Psma6, Psmb4, Psmc3, Psmc6, Psmd1, Psmd11, Psmd14, Psmd3, Psmd7, Psme3, Psme4, Ubc"
"Signaling by Receptor Tyrosine Kinases","7.601e-04","387","Aamp, Abi1, Abi2, Actg1, Akt2, Akt3, Ap2a2, Ap2b1, Ap2m1, Ap2s1, Arf6, Atp6ap1, Atp6v0a1, Atp6v0b, Atp6v0c, Atp6v1a, Atp6v1b2, Atp6v1c1, Atp6v1d, Atp6v1f, Atp6v1h, Axl, Baiap2, Bcar1, Braf, Brk1, Calm3, Cav1, Cbl, Cdc37, Cdc42, Cdh5, Chd4, Cltc, Col4a1, Col4a2, Col5a1, Col6a6, Ctnna1, Ctnnb1, Ctnnd1, Cyba, Cyfip1, Cyfip2, Dnal4, Dock1, Dusp3, Dusp6, Dusp7, Egf, Egfr, Elmo2, Ep300, Epn1, Eps15, Eps15l1, Erbb2, Erbb3, Ereg, Fer, Fes, Fgf9, Fgfbp1, Fgfbp3, Fgfr2, Flrt1, Flrt3, Frs2, Frs3, Fyn, Gab1, Gga3, Grap, Grb10, Grb7, Gtf2f1, Gtf2f2, Hbegf, Hsp90aa1, Hspb1, Igf1, Igf2, Insr, Irs1, Irs2, Irs4, Itga3, Itgav, Jup, Kdr, Kras, Lama4, Lrig1, Lyn, Map2k2, Mapk1, Mapk12, Mapk13, Mapk14, Mapkap1, Mapkapk3, Megf11, Memo1, Mlst8, Mst1r, Ncbp1, Ncbp2, Nck1, Nckap1, Nedd4, Ngf, Nrp1, Ntf5, Pak2, Pdpk1, Pik3ca, Pik3cb, Pik3r1, Pik3r2, Pik3r4, Plcg1, Polr2a, Polr2b, Polr2e, Polr2f, Ppp2ca, Ppp2cb, Ppp2r1a, Prkaca, Prkacb, Prkcd, Prkce, Psenen, Ptk2, Ptpn1, Ptpn11, Ptpn3, Ptprk, Ptpru, Rab4b, Ranbp10, Rhoa, Rictor, Rnf41, Rock2, Sgk1, Sh2b2, Sh2b3, Sh3gl1, Spint2, Srf, Stam, Stat3, Stat6, Stub1, Tcirg1, Thbs4, Them4, Tns4, Ubc, Vegfb, Yap1, Ywhab"
"Transport of Mature mRNA derived from an Intron-Containing Transcript","8.617e-04","67","Aaas, Eif4a3, Ncbp1, Ndc1, Nup107, Nup155, Nup37, Nup50, Nup62, Nup85, Nup98, Nxf1, Nxt1, Poldip3, Pom121, Rae1, Srsf11, Srsf2, Srsf5, Srsf7, Srsf9, Thoc2, Thoc7, Tpr, U2af1"
"TCR signaling","1.340e-03","97","Bcl10, Cd4, Cul1, Fbxw11, Ikbkb, Lat, Lcp2, Nfkbia, Pak2, Pdpk1, Pik3ca, Pik3r1, Pik3r2, Psma6, Psmb4, Psmc3, Psmc6, Psmd1, Psmd11, Psmd3, Psmd7, Psme3, Psme4, Ripk2, Ubc"
"Transport of Mature Transcript to Cytoplasm","1.368e-03","76","Aaas, Cpsf1, Cpsf3, Eif4a3, Ncbp1, Ndc1, Nup107, Nup155, Nup37, Nup50, Nup62, Nup85, Nup98, Nxf1, Nxt1, Poldip3, Pom121, Rae1, Srsf11, Srsf2, Srsf5, Srsf7, Srsf9, Thoc2, Thoc7, Tpr, U2af1"
"UCH proteinases","1.416e-03","74","Actg1, Bap1, Foxk1, Hcfc1, Ino80c, Mcrs1, Nedd8, Ogt, Psma3, Psma4, Psma6, Psmb4, Psmb8, Psmc3, Psmc6, Psmd1, Psmd11, Psmd14, Psmd3, Psmd7, Psme3, Psme4, Ruvbl1, Tfpt, Ubc, Uchl5, Yy1"
"M Phase","1.565e-03","317","Aaas, Actr1a, Ahctf1, Anapc5, Cc2d1b, Cdk5rap2, Cenpp, Cep192, Cep250, Chmp2a, Chmp6, Ckap5, Clasp1, Clip1, Csnk1e, Csnk2a2, Csnk2b, Dsn1, Dync1i1, Dync1li1, Golga2, Gorasp1, Haus1, Haus3, Hsp90aa1, Incenp, Ist1, Lmna, Lmnb1, Mapk1, Mau2, Mzt2, Ncaph2, Ndc1, Nde1, Nek9, Numa1, Nup107, Nup155, Nup37, Nup50, Nup62, Nup85, Nup98, Pcnt, Pom121, Ppp2ca, Ppp2r2a, Psma4, Psma6, Psmb4, Psmc3, Psmc6, Psmd1, Psmd11, Psmd14, Psmd3, Psmd7, Psme3, Psme4, Pttg1, Rab1b, Rae1, Rb1, Rbm39, Rcc2, Smc4, Spast, Stag2, Tpr, Tuba8, Tubb2a, Tubgcp5, Ubc, Wapl, Zw10, Zwint"
"Downstream TCR signaling","2.009e-03","80","Bcl10, Cd4, Cul1, Fbxw11, Ikbkb, Nfkbia, Pdpk1, Pik3ca, Pik3r1, Pik3r2, Psma4, Psma6, Psmb4, Psmc3, Psmc6, Psmd1, Psmd11, Psmd14, Psmd3, Psmd7, Psme3, Psme4, Ripk2, Ubc"
"Downstream signaling events of B Cell Receptor (BCR)","2.131e-03","70","Bcl10, Calm3, Cul1, Fbxw11, Ikbkb, Kras, Nfkbia, Nfkbib, Psma4, Psma6, Psmb4, Psmc3, Psmc6, Psmd1, Psmd11, Psmd14, Psmd3, Psmd7, Psme3, Psme4, Ubc"
"Cellular response to chemical stress","2.248e-03","147","Akt3, Carm1, Cat, Cox14, Cox6a1, Cox6b1, Cox8a, Cul1, Cyba, Ep300, Gpx1, Gpx2, Gstp1, Lrpprc, Map1lc3b, Med1, Nfe2l2, Ppara, Prdx3, Prdx5, Psma4, Psma6, Psmb4, Psmc3, Psmc6, Psmd1, Psmd11, Psmd14, Psmd3, Psmd7, Psme3, Psme4, Sesn1, Sin3a, Smarcd3, Sod1, Sqstm1, Srxn1, Txn1, Ubc, Ufd1, Vcp"
"Chromatin modifying enzymes","2.439e-03","132","Aebp2, Arid1a, Arid4b, Ash2l, Atf7ip, Brpf1, Brpf3, Brwd1, Carm1, Ccnd1, Cdk4, Chd3, Chd4, Coprs, Gatad2a, Hcfc1, Hmg20b, Ing4, Jade1, Jmjd6, Kansl3, Kat7, Kdm2a, Kdm2b, Kdm3a, Kdm3b, Kdm4d, Kdm5b, Kdm5c, Kdm6a, Kdm7a, Kmt2b, Kmt5b, Kmt5c, Mbd3, Mcrs1, Msl1, Mta2, Nfkb2, Ogt, Padi1, Prdm16, Prmt5, Prmt7, Rbbp5, Rbbp7, Rcor1, Rela, Sap30, Setd1a, Setd2, Setd6, Setd7, Smarca4, Smarcc1, Smarcc2, Smarcd1, Smarcd3, Wdr5, Wdr77"
"Chromatin organization","2.439e-03","132","Aebp2, Arid1a, Arid4b, Ash2l, Atf7ip, Brpf1, Brpf3, Brwd1, Carm1, Ccnd1, Cdk4, Chd3, Chd4, Coprs, Gatad2a, Hcfc1, Hmg20b, Ing4, Jade1, Jmjd6, Kansl3, Kat7, Kdm2a, Kdm2b, Kdm3a, Kdm3b, Kdm4d, Kdm5b, Kdm5c, Kdm6a, Kdm7a, Kmt2b, Kmt5b, Kmt5c, Mbd3, Mcrs1, Msl1, Mta2, Nfkb2, Ogt, Padi1, Prdm16, Prmt5, Prmt7, Rbbp5, Rbbp7, Rcor1, Rela, Sap30, Setd1a, Setd2, Setd6, Setd7, Smarca4, Smarcc1, Smarcc2, Smarcd1, Smarcd3, Wdr5, Wdr77"
"Fcgamma receptor (FCGR) dependent phagocytosis","2.439e-03","73","Abi1, Abi2, Actg1, Actr3, Arpc2, Arpc4, Baiap2, Brk1, Cdc42, Cyfip1, Cyfip2, Dock1, Elmo2, Fcgr4, Fgr, Fyn, Hsp90aa1, Hsp90ab1, Lyn, Mapk1, Myh9, Myo1c, Myo5a, Nck1, Nckap1, Nf2, Pik3ca, Pik3r1, Pik3r2, Plcg1, Pld2, Plpp4, Plpp5, Prkcd, Wipf1"
"SUMOylation of ubiquitinylation proteins","2.439e-03","35","Aaas, Ndc1, Nup107, Nup155, Nup37, Nup50, Nup62, Nup85, Nup98, Pias1, Pias2, Pias4, Pom121, Rae1, Tpr, Trim27, Vhl"
"VEGFA-VEGFR2 Pathway","2.846e-03","90","Abi1, Abi2, Actg1, Akt2, Akt3, Axl, Baiap2, Bcar1, Brk1, Calm3, Cav1, Cdc42, Cdh5, Ctnna1, Ctnnb1, Ctnnd1, Cyba, Cyfip1, Cyfip2, Dock1, Elmo2, Fyn, Hsp90aa1, Hspb1, Itgav, Jup, Kdr, Kras, Mapk12, Mapk13, Mapk14, Mapkap1, Mapkapk3, Mlst8, Nck1, Nckap1, Pak2, Pdpk1, Pik3ca, Pik3cb, Pik3r1, Pik3r2, Plcg1, Prkaca, Prkacb, Prkcd, Ptk2, Rhoa, Rictor, Rock2, Them4"
"AUF1 (hnRNP D0) binds and destabilizes mRNA","2.900e-03","52","Eif4g1, Hnrnpd, Hspa8, Hspb1, Psma4, Psma6, Psmb4, Psmc3, Psmc6, Psmd1, Psmd11, Psmd14, Psmd3, Psmd7, Psme3, Psme4, Ubc"
"Cell junction organization","2.915e-03","63","Actg1, Afdn, Cdh5, Col17a1, Ctnnb1, Ctnnd1, F11r, Flna, Itga6, Itgb4, Jup, Krt5, Nectin1, Nectin4, Pard3, Pard6g, Prkci"
"Activation of NF-kappaB in B cells","3.976e-03","58","Bcl10, Cul1, Fbxw11, Ikbkb, Nfkbia, Nfkbib, Psma4, Psma6, Psmb4, Psmc3, Psmc6, Psmd1, Psmd11, Psmd14, Psmd3, Psmd7, Psme3, Psme4, Ubc"
"Deadenylation of mRNA","3.980e-03","25","Cnot6l, Cnot9, Eif4a1, Eif4a2, Eif4a3, Eif4b, Eif4g1, Pan2, Parn, Tnks1bp1"
"KEAP1-NFE2L2 pathway","4.433e-03","70","Akt3, Cul1, Ep300, Map1lc3b, Nfe2l2, Psma4, Psma6, Psmb4, Psmc3, Psmc6, Psmd1, Psmd11, Psmd14, Psmd3, Psmd7, Psme3, Psme4, Sesn1, Sqstm1, Srxn1, Ubc, Ufd1, Vcp"
"Regulation of mRNA stability by proteins that bind AU-rich elements","4.433e-03","79","Eif4g1, Exosc1, Exosc3, Exosc8, Exosc9, Hnrnpd, Hspa8, Hspb1, Khsrp, Parn, Prkcd, Psma3, Psma4, Psma6, Psmb4, Psmb8, Psmc3, Psmc6, Psmd1, Psmd11, Psmd14, Psmd3, Psmd7, Psme3, Psme4, Tnpo1, Ubc, Ywhab"
"SUMOylation of chromatin organization proteins","4.433e-03","50","Aaas, Hdac4, Ndc1, Nup107, Nup155, Nup37, Nup50, Nup62, Nup85, Nup98, Phc1, Pias1, Pias2, Pom121, Rae1, Ring1, Sumo3, Tpr"
"C-type lectin receptors (CLRs)","5.090e-03","102","Bcl10, Calm3, Card9, Cul1, Ep300, Fbxw11, Fyn, Ikbkb, Il1b, Kras, Lyn, Map3k7, Nfkb2, Nfkbia, Pak2, Pdpk1, Ppp3ca, Ppp3cb, Prkaca, Prkacb, Prkcd, Psma3, Psma4, Psma6, Psmb4, Psmb8, Psmc3, Psmc5, Psmc6, Psmd1, Psmd11, Psmd14, Psmd3, Psmd6, Psmd7, Psme2b, Psme3, Psme4, Pycard, Raf1, Rela, Tab2, Tab3, Traf6, Uba3, Ubc, Ube2d2a, Ube2m"
"Signaling by VEGF","5.090e-03","98","Abi1, Abi2, Actg1, Akt2, Akt3, Axl, Baiap2, Bcar1, Brk1, Calm3, Cav1, Cdc42, Cdh5, Ctnna1, Ctnnb1, Ctnnd1, Cyba, Cyfip1, Cyfip2, Dock1, Elmo2, Fyn, Hsp90aa1, Hspb1, Itgav, Jup, Kdr, Kras, Mapk12, Mapk13, Mapk14, Mapkap1, Mapkapk3, Mlst8, Nck1, Nckap1, Nrp1, Pak2, Pdpk1, Pik3ca, Pik3cb, Pik3r1, Pik3r2, Plcg1, Prkaca, Prkacb, Prkcd, Ptk2, Rhoa, Rictor, Rock2, Them4, Vegfb"
"Class I MHC mediated antigen processing & presentation","5.346e-03","332","Anapc13, Anapc5, Asb13, Asb6, Atg7, Bcap31, Calr, Canx, Cd36, Cul1, Cul7, Cyba, Dcaf1, Dzip3, Elob, Erap1, Fbxl4, Fbxo11, Fbxo21, Fbxo32, Fbxo9, Fbxw11, Fbxw8, Fzr1, H2-K1, H2-M2, H2-M9, Hace1, Herc1, Herc2, Herc4, Huwe1, Itgav, Kbtbd8, Lrrc41, Mrc1, Mylip, Nedd4, Npepps, Pdia3, Psma3, Psma4, Psma6, Psmb4, Psmb8, Psmc3, Psmc6, Psmd1, Psmd11, Psmd14, Psmd3, Psmd7, Psme3, Psme4, Rbck1, Rchy1, Rlim, Rnf111, Rnf126, Rnf130, Rnf14, Rnf220, Rnf4, Sar1b, Sec24c, Sec31a, Sh3rf1, Siah2, Stub1, Stx4a, Tapbp, Thop1, Tpp2, Trim50, Trip12, Uba5, Ubc, Ube2a, Ube2g1, Ube2g2, Ube2k, Ube2m, Ube2q1, Ube3b, Ube3c, Ube4a, Ufl1, Vhl, Wsb1"
"SUMOylation","5.782e-03","146","Aaas, Blm, Bmi1, Casp8ap2, Ctbp1, Ddx17, Ep300, Hdac4, Herc2, Hnrnpc, Hnrnpk, Ikbke, Incenp, Mbd1, Ndc1, Nfkb2, Nfkbia, Nr1h2, Nr1h4, Nrip1, Nsmce4a, Nup107, Nup155, Nup37, Nup50, Nup62, Nup85, Nup98, Park7, Phc1, Pias1, Pias2, Pias4, Pom121, Ppara, Rad21, Rae1, Ring1, Sae1, Senp2, Sin3a, Stag2, Sumo3, Top2a, Top2b, Topors, Tpr, Trim27, Vhl"
"Adherens junctions interactions","6.925e-03","31","Actg1, Afdn, Cdh17, Cdh5, Ctnnb1, Ctnnd1, Jup, Nectin1, Nectin4"
"CLEC7A (Dectin-1) signaling","6.925e-03","85","Bcl10, Calm3, Card9, Cul1, Fbxw11, Ikbkb, Il1b, Map3k7, Nfkb2, Nfkbia, Pdpk1, Ppp3cb, Prkcd, Psma3, Psma4, Psma6, Psmb4, Psmb8, Psmc3, Psmc6, Psmd1, Psmd11, Psmd14, Psmd3, Psmd6, Psmd7, Psme3, Psme4, Tab3, Uba3, Ubc, Ube2m"
"ISG15 antiviral mechanism","6.925e-03","26","Eif4a1, Eif4a2, Eif4a3, Eif4g1, Eif4g2, Eif4g3, Flnb, Irf3, Nedd4"
"Nuclear Envelope (NE) Reassembly","6.925e-03","61","Ahctf1, Cc2d1b, Chmp2a, Chmp6, Ist1, Lmna, Lmnb1, Ndc1, Nup107, Nup155, Nup37, Nup85, Nup98, Pom121, Ppp2ca, Ppp2r2a, Rbm39, Spast, Tuba8, Tubb2a"
"SUMOylation of DNA replication proteins","6.925e-03","39","Aaas, Incenp, Ndc1, Nup107, Nup155, Nup37, Nup50, Nup62, Nup85, Nup98, Pias4, Pom121, Rae1, Sumo3, Top2a, Top2b, Tpr"
