"Reactome Pathway Term","Adjusted P-Value (limma)","Size (limma)","Leading Edge (limma)","Adjusted P-Value (DESeq2)","Size (DESeq2)","Leading Edge (DESeq2)"
"Beta-catenin independent WNT signaling","2.732e-06","98","Ap2b1, Ap2m1, Ap2s1, Calm1, Calm2, Cltb, Cltc, Daam1, Dvl2, Dvl3, Fzd5, Gnb1, Gng12, Kras, Nlk, Pfn1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rac1, Rhoa, Smurf1, Ubc","3.605e-07","105","Ap2s1, Calm1, Calm2, Cltb, Cltc, Daam1, Dvl2, Dvl3, Fzd1, Gnb1, Gnb2, Gng12, Kras, Nlk, Pfn1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rac1, Rhoa, Smurf1, Ubc"
"AUF1 (hnRNP D0) binds and destabilizes mRNA","1.215e-06","49","Eif4g1, Hspa1b, Hspa8, Pabpc1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","1.209e-06","50","Eif4g1, Hspa1b, Hspa8, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"PCP/CE pathway","4.708e-06","76","Ap2b1, Ap2m1, Ap2s1, Cltb, Cltc, Daam1, Dvl2, Dvl3, Fzd5, Pfn1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rac1, Rhoa, Smurf1, Ubc","3.573e-07","79","Ap2s1, Cltb, Cltc, Daam1, Dvl2, Dvl3, Fzd1, Pfn1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rac1, Rhoa, Smurf1, Ubc"
"Dectin-1 mediated noncanonical NF-kB signaling","1.797e-06","50","Cul1, Map3k14, Nfkb2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Ube2m","7.703e-07","50","Map3k14, Nfkb2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Ube2m"
"NIK-->noncanonical NF-kB signaling","1.797e-06","50","Cul1, Map3k14, Nfkb2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Ube2m","7.703e-07","50","Map3k14, Nfkb2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Ube2m"
"MAPK6/MAPK4 signaling","1.807e-06","62","Ccnd3, Cdc42, Foxo3, Pak2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rac1, Ubc","7.572e-07","63","Ccnd3, Cdc42, Etv4, Foxo3, Pak2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rac1, Ubc"
"Regulation of ornithine decarboxylase (ODC)","1.807e-06","47","Nqo1, Oaz1, Odc1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1","7.572e-07","47","Oaz1, Odc1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1"
"Nuclear events mediated by NFE2L2","1.797e-06","47","Cul1, Nfe2l2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","1.310e-06","47","Nfe2l2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"Degradation of AXIN","4.012e-06","49","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Tnks, Ubc","8.967e-07","49","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Tnks, Ubc"
"Degradation of GLI1 by the proteasome","3.929e-06","49","Cul1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","1.071e-06","49","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"Hedgehog ligand biogenesis","4.601e-06","53","Derl2, P4hb, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Vcp","8.967e-07","54","Derl2, P4hb, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Vcp"
"Antigen processing-Cross presentation","2.396e-05","71","B2m, Calr, Cyba, H2-K1, H2-Q4, H2-Q6, H2-Q7, H2-T23, Pdia3, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Stx4a, Tap2, Tapbp, Vamp3, Vamp8","3.573e-07","73","B2m, Calr, Cyba, H2-K1, H2-Q4, H2-Q6, H2-Q7, H2-T23, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Stx4a, Tap1, Tap2, Tapbp, Vamp3, Vamp8"
"Ubiquitin Mediated Degradation of Phosphorylated Cdc25A","1.258e-05","45","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","1.319e-06","46","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"p53-Independent DNA Damage Response","1.258e-05","45","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","1.319e-06","46","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"p53-Independent G1/S DNA damage checkpoint","1.258e-05","45","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","1.319e-06","46","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"Cross-presentation of soluble exogenous antigens (endosomes)","7.533e-06","45","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1","1.491e-06","45","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1"
"The role of GTSE1 in G2/M progression after G2 checkpoint","1.638e-04","63","Cdkn1a, Hsp90aa1, Hsp90ab1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Tuba1c, Tuba4a, Tubb2a, Tubb4b, Ubc","6.689e-07","64","Ccnb2, Cdkn1a, Fkbpl, Hsp90aa1, Hsp90ab1, Mapre1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Tuba1c, Tuba4a, Tubb2a, Tubb4b, Ubc"
"Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha","1.834e-05","60","Egln2, Egln3, Elob, Epas1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Ube2d2a, Wtip","1.319e-06","60","Egln2, Egln3, Elob, Epas1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Wtip"
"KEAP1-NFE2L2 pathway","1.484e-05","68","Akt1, Cul1, Mafk, Map1lc3b, Nfe2l2, Prdx1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Sqstm1, Srxn1, Ubc, Vcp","1.379e-06","68","Akt1, Mafk, Map1lc3b, Nfe2l2, Prdx1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Sqstm1, Srxn1, Ubc, Vcp"
"Activation of NF-kappaB in B cells","7.293e-06","55","Cul1, Nfkbia, Nfkbib, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rela, Ubc","6.496e-06","56","Nfkbia, Nfkbib, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"FBXL7 down-regulates AURKA during mitotic entry and in early mitosis","1.260e-05","47","Cul1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","2.260e-06","47","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"Regulation of PTEN stability and activity","6.691e-06","61","Akt1, Csnk2a1, Csnk2b, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Tnks, Ubc","1.567e-05","62","Akt1, Csnk2a1, Csnk2b, Nedd4, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Tnks, Ubc"
