"Reactome Pathway Term","Adjusted P-Value (limma)","Size (limma)","Leading Edge (limma)","Adjusted P-Value (DESeq2)","Size (DESeq2)","Leading Edge (DESeq2)"
"Regulation of mRNA stability by proteins that bind AU-rich elements","6.669e-07","77","Anp32a, Dcp2, Eif4g1, Exosc4, Exosc5, Exosc7, Hnrnpd, Hspa1a, Hspa1b, Hspa8, Khsrp, Mapkapk2, Nup214, Pabpc1, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Psme4, Set, Tnpo1, Ubc, Xpo1, Ywhab, Ywhaz, Zfp36","1.767e-06","77","Anp32a, Eif4g1, Exosc5, Hspa1a, Hspa1b, Hspa8, Khsrp, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Ubc, Ywhab, Ywhaz, Zfp36"
"Developmental Biology","2.496e-06","278","Abl1, Actg1, Actr2, Ap2a1, Ap2m1, Ap2s1, Aph1a, Arhgef7, Arpc1a, Arpc1b, Arpc2, Arpc3, Cdk2, Cdk4, Cdkn1a, Cltc, Col3a1, Col5a1, Creb1, Csnk2b, Ctnna1, Ctnnb1, Dag1, Dok4, Dsc2, Dsg2, Dsp, Efna1, Efna5, Efnb2, Egfr, Enah, Epha1, Ephb2, Ephb4, Evpl, Ezr, Foxo3, Frs2, Git1, Gpc1, Grb2, Hdac3, Hras, Hsp90aa1, Hsp90ab1, Irs2, Itgb1, Jup, Kazn, Kras, Krt14, Krt15, Krt18, Krt19, Krt20, Krt5, Krt7, Krt8, Krt80, Map2k2, Mef2d, Msn, Nck2, Pak2, Perp, Pfn1, Pik3ca, Pip5k1c, Pkp1, Pkp3, Pkp4, Plxna1, Plxna2, Ppl, Prkaca, Psenen, Rac1, Rhoa, Rhob, Rock1, Rock2, Rras, Sdcbp, Sema3e, Sema4d, Shc1, Smad3, Sptbn2, Tgm1, Tln1, Trio, Tuba1a, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6, Ubc, Vasp, Yes1","2.715e-07","302","Actg1, Actr2, Akt3, Ap2m1, Ap2s1, Aph1a, Arhgef7, Arpc1a, Arpc1b, Arpc2, Arpc3, Cltc, Col3a1, Col4a2, Col5a1, Col6a1, Col6a2, Ctnna1, Ctnnb1, Dag1, Dok1, Dok4, Dpysl2, Dsc2, Dsg2, Dsp, Efna1, Efnb1, Efnb2, Egfr, Enah, Epha2, Ephb2, Ephb3, Evpl, Ezr, Foxo3, Frs2, Git1, Gpc1, Grb2, Hdac3, Hras, Hsp90ab1, Irs2, Itgb1, Jup, Kazn, Kras, Krt14, Krt15, Krt17, Krt18, Krt19, Krt20, Krt23, Krt5, Krt6a, Krt7, Krt8, Krt80, Map2k1, Map2k2, Mef2d, Mmp2, Msn, Nck2, Pak2, Perp, Pfn1, Pik3ca, Pkp1, Pkp3, Pkp4, Plxna1, Plxna2, Ppl, Prkaca, Psenen, Ptpn11, Rac1, Rhoa, Rhob, Rock1, Rptn, Rras, Sdcbp, Sema3e, Sema7a, Shc1, Smad3, Sptbn2, Tgm1, Tln1, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6, Ubc, Vasp"
"Separation of Sister Chromatids","2.663e-06","165","Anapc1, Anapc11, Anapc16, Anapc4, Anapc7, Aurkb, Cdc20, Cdc26, Cdc27, Cdca8, Cenpa, Clip1, Dync1li1, Dync1li2, Dynll2, Espl1, Kif2c, Mad1l1, Mapre1, Nde1, Nudc, Nup107, Pafah1b1, Plk1, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r5b, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Rangap1, Smc3, Spc24, Stag2, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6, Ubc, Ube2c, Ube2d1, Ube2s, Wapl, Xpo1","1.092e-06","167","Anapc1, Anapc11, Anapc16, Aurkb, Bub1, Bub3, Cdc20, Cdc26, Cdc27, Cdca5, Cdca8, Cenpa, Cenph, Cenpk, Cenpo, Cenpq, Ckap5, Clip1, Dync1li2, Dynll2, Espl1, Incenp, Kif2c, Mad1l1, Mad2l1, Mapre1, Mis12, Nde1, Nudc, Nuf2, Nup107, Pafah1b1, Plk1, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r5b, Psma1, Psma3, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd1, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Rad21, Rangap1, Sgo2a, Spc24, Stag2, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb3, Tubb4b, Tubb6, Ubc, Ube2c, Ube2d1, Ube2s, Wapl, Xpo1"
"APC/C:Cdc20 mediated degradation of Securin","6.424e-07","61","Anapc1, Anapc11, Anapc16, Anapc4, Anapc7, Cdc20, Cdc26, Cdc27, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Ubc, Ube2c, Ube2d1, Ube2s","1.965e-06","61","Cdc20, Cdc26, Cdc27, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Ubc, Ube2c, Ube2d1, Ube2s"
"AUF1 (hnRNP D0) binds and destabilizes mRNA","1.892e-06","50","Eif4g1, Hspa1a, Hspa1b, Hspa8, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Ubc","1.767e-06","50","Eif4g1, Hspa1a, Hspa1b, Hspa8, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Ubc"
"Autodegradation of Cdh1 by Cdh1:APC/C","6.964e-07","59","Anapc1, Anapc11, Anapc16, Anapc4, Anapc7, Cdc26, Cdc27, Fzr1, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Ubc, Ube2c, Ube2d1, Ube2s","1.965e-06","59","Cdc26, Cdc27, Fzr1, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Ubc, Ube2c, Ube2d1, Ube2s"
"Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins","4.737e-07","69","Anapc1, Anapc11, Anapc16, Anapc4, Anapc7, Ccna2, Cdc20, Cdc26, Cdc27, Nek2, Plk1, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Ubc, Ube2c, Ube2d1, Ube2s","2.548e-06","69","Ccna2, Cdc20, Cdc26, Cdc27, Nek2, Plk1, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Ubc, Ube2c, Ube2d1, Ube2s"
"APC/C:Cdc20 mediated degradation of mitotic proteins","6.424e-07","68","Anapc1, Anapc11, Anapc16, Anapc4, Anapc7, Ccna2, Cdc20, Cdc26, Cdc27, Nek2, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Ubc, Ube2c, Ube2d1, Ube2s","2.373e-06","68","Ccna2, Cdc20, Cdc26, Cdc27, Nek2, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Ubc, Ube2c, Ube2d1, Ube2s"
"CDK-mediated phosphorylation and removal of Cdc6","6.009e-06","66","Anapc1, Anapc11, Anapc16, Anapc4, Anapc7, Ccna2, Cdc26, Cdc27, Cdk2, Fzr1, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Ubc, Ube2c, Ube2d1, Ube2s","1.767e-06","66","Ccna2, Cdc26, Cdc27, Fzr1, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Ubc, Ube2c, Ube2d1, Ube2s"
"Cdc20:Phospho-APC/C mediated degradation of Cyclin A","8.211e-07","66","Anapc1, Anapc11, Anapc16, Anapc4, Anapc7, Ccna2, Cdc20, Cdc26, Cdc27, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Ubc, Ube2c, Ube2d1, Ube2s","2.103e-06","66","Anapc1, Anapc16, Bub3, Ccna2, Cdc20, Cdc26, Cdc27, Mad2l1, Psma1, Psma3, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd1, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Ubc, Ube2c, Ube2d1, Ube2s"
"KEAP1-NFE2L2 pathway","4.115e-06","68","Mafk, Mul1, Nfe2l2, Nploc4, Prdx1, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Sqstm1, Srxn1, Ubc, Ufd1, Vcp","1.775e-06","68","Mafk, Nploc4, Prdx1, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Sqstm1, Srxn1, Ubc, Vcp"
"Respiratory electron transport","1.601e-05","81","Coq10b, Cox14, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7c, Cox8a, Cyc1, Etfa, Etfb, Etfdh, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa3, Ndufa6, Ndufa8, Ndufab1, Ndufaf2, Ndufaf3, Ndufb10, Ndufb2, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufc1, Ndufc2, Ndufs1, Ndufs2, Ndufs3, Ndufs6, Ndufs7, Ndufs8, Ndufv1, Ndufv2, Ndufv3, Surf1, Uqcr10, Uqcr11, Uqcrq","3.744e-07","82","Coq10b, Cox14, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Cyc1, Etfa, Etfb, Etfdh, Ndufa1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa3, Ndufa6, Ndufa8, Ndufab1, Ndufaf1, Ndufaf3, Ndufaf5, Ndufb10, Ndufb2, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs1, Ndufs2, Ndufs3, Ndufs5, Ndufs6, Ndufs8, Ndufv1, Ndufv2, Ndufv3, Surf1, Timmdc1, Uqcr10, Uqcr11, Uqcrc1, Uqcrfs1, Uqcrq"
