"Reactome Pathway Term","Adjusted P-Value (limma)","Size (limma)","Leading Edge (limma)","Adjusted P-Value (DESeq2)","Size (DESeq2)","Leading Edge (DESeq2)"
"ISG15 antiviral mechanism","2.547e-02","25","Ddx58, Eif2ak2, Eif4a1, Eif4a2, Eif4e, Eif4e2, Eif4g1, Eif4g3, Isg15, Mapk3, Nedd4, Uba7, Ube2e1, Ube2l6, Ube2n, Usp18","4.528e-03","26","Ddx58, Eif2ak2, Eif4a1, Eif4a2, Eif4e, Eif4e2, Eif4g1, Isg15, Mapk3, Ube2e1, Ube2n, Usp18"
"Mitotic Metaphase and Anaphase","1.181e-02","179","Anapc11, Anapc2, Anapc5, Aurkb, Banf1, Bub1b, Cdc23, Cdc27, Cdca8, Cdk1, Cenpf, Cenpk, Cenpq, Ckap5, Dync1h1, Dynll1, Hdac8, Kif18a, Lmna, Mad1l1, Mis12, Ndc1, Nudc, Nup155, Nup188, Pom121, Ppp2r5b, Psma3, Psma7, Psmb1, Psmb2, Psmb6, Psmb9, Psmd1, Psmd11, Psmd14, Psmd3, Psmd4, Psmd5, Psmd9, Psme2b, Psme3, Rangap1, Rbm39, Rcc1, Rcc2, Ska2, Smc1a, Spc24, Spdl1, Sumo1, Tuba1b, Tuba1c, Tuba4a, Tubb4b, Ube2d1, Ube2e1, Vrk1, Xpo1","1.807e-02","194","Ahctf1, Anapc11, Anapc2, Anapc5, Aurkb, Cdc23, Cdc27, Cdca8, Cdk1, Cenpc1, Cenpf, Chmp3, Ckap5, Dync1h1, Dynll1, Emd, Hdac8, Kif18a, Lbr, Lmna, Mad1l1, Mis12, Ndc1, Nudc, Nup155, Nup188, Pom121, Ppp2r5b, Psma2, Psma3, Psma7, Psmb1, Psmb2, Psmb4, Psmb6, Psmb9, Psmd1, Psmd11, Psmd14, Psmd3, Psmd9, Psme2b, Psme3, Rangap1, Rbm39, Rcc1, Rcc2, Ska2, Smc1a, Spc24, Spdl1, Stag2, Tuba1b, Tuba1c, Tuba4a, Tubb4b, Ube2d1, Ube2e1, Vrk1, Wapl, Xpo1"
"Regulation of mitotic cell cycle","1.177e-02","74","Anapc11, Anapc2, Anapc5, Aurkb, Bub1b, Cdc14a, Cdc23, Cdc27, Cdk1, Cdk2, Fzr1, Psma3, Psma7, Psmb1, Psmb2, Psmb4, Psmb6, Psmb9, Psmd1, Psmd10, Psmd11, Psmd14, Psmd3, Psmd4, Psmd5, Psmd9, Psme2b, Psme3, Ube2d1, Ube2e1","2.168e-02","76","Anapc11, Anapc2, Anapc5, Aurkb, Cdc14a, Cdc23, Cdc27, Cdk1, Cdk2, Fzr1, Psma2, Psma3, Psma7, Psmb1, Psmb2, Psmb4, Psmb6, Psmb9, Psmd1, Psmd11, Psmd14, Psmd3, Psmd9, Psme2b, Psme3, Ube2d1, Ube2e1"
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","3.500e-02","95","Acad9, Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5j2, Atp5k, Atp5l, Cox11, Cox14, Cox18, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cyc1, Etfa, Lrpprc, Ndufa12, Ndufa3, Ndufab1, Ndufaf1, Ndufaf5, Ndufaf6, Ndufaf7, Ndufb10, Ndufb11, Ndufb3, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufc2, Ndufs2, Ndufs3, Ndufs4, Ndufs7, Ndufv1, Ndufv2, Slc25a27, Surf1, Tmem186, Ucp2, Uqcr10, Uqcr11, Uqcrc1","2.465e-03","95","Acad9, Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5j2, Atp5k, Atp5l, Cox11, Cox14, Cox18, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Etfa, Ndufa12, Ndufab1, Ndufaf1, Ndufaf5, Ndufaf6, Ndufaf7, Ndufb10, Ndufb11, Ndufb3, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufc2, Ndufs2, Ndufs3, Ndufs4, Ndufs7, Ndufv1, Ndufv2, Slc25a27, Tmem186, Ucp2, Uqcr10, Uqcr11, Uqcrc1, Uqcrh"
"Translation","2.384e-02","58","Apeh, Aurkaip1, Dap3, Eef1a1, Eef1b2, Eef1g, Eif1ax, Eif2b1, Eif2b4, Eif2s1, Eif3a, Eif3b, Eif3i, Eif3l, Eif4a1, Eif4a2, Eif4b, Eif4e, Eif4g1, Eif5b, Gfm2, Mtrf1l, Ppa1","6.762e-03","59","Apeh, Aurkaip1, Dap3, Eef1a1, Eef1b2, Eef1g, Eef2, Eif1ax, Eif2b1, Eif2b4, Eif2s1, Eif3a, Eif3b, Eif3c, Eif3i, Eif3l, Eif4a1, Eif4a2, Eif4b, Eif4e, Eif4g1, Eif5b, Gfm1, Gfm2, Gspt1, Mtrf1l, Ppa1, Srp72, Srp9"
"CDK-mediated phosphorylation and removal of Cdc6","5.438e-03","62","Anapc11, Anapc2, Anapc5, Cdc23, Cdc27, Cdc6, Cdk2, Fzr1, Psma3, Psma7, Psmb1, Psmb2, Psmb6, Psmb9, Psmd1, Psmd11, Psmd14, Psmd3, Psmd4, Psmd5, Psmd9, Psme2b, Psme3, Ube2d1, Ube2e1","2.517e-02","64","Anapc11, Anapc2, Anapc5, Cdc23, Cdc27, Cdc6, Cdk2, Fzr1, Psma2, Psma3, Psma7, Psmb1, Psmb2, Psmb4, Psmb6, Psmb9, Psmd1, Psmd11, Psmd14, Psmd3, Psmd9, Psme2b, Psme3, Ube2d1, Ube2e1"
"Major pathway of rRNA processing in the nucleolus and cytosol","1.181e-02","85","Bms1, C1d, Dcaf13, Ddx49, Emg1, Exosc5, Exosc9, Fbl, Heatr1, Ltv1, Mphosph10, Mphosph6, Ncl, Nip7, Nob1, Nol11, Rpp21, Rrp9, Senp3, Snu13, Tbl3, Utp14a, Utp18, Utp3, Utp6, Wdr3, Wdr75","1.825e-02","86","Bms1, C1d, Csnk1d, Dcaf13, Ddx49, Emg1, Exosc5, Exosc8, Exosc9, Fbl, Fcf1, Heatr1, Krr1, Ltv1, Mphosph10, Mphosph6, Mtrex, Ncl, Nip7, Nob1, Noc4l, Nol11, Nol6, Nol9, Nop58, Pno1, Rcl1, Rpp21, Rpp40, Rrp9, Senp3, Snu13, Tbl3, Utp14a, Utp18, Utp25, Utp3, Utp6, Wdr3, Wdr36, Wdr43, Wdr75"
"rRNA processing","1.181e-02","85","Bms1, C1d, Dcaf13, Ddx49, Emg1, Exosc5, Exosc9, Fbl, Heatr1, Ltv1, Mphosph10, Mphosph6, Ncl, Nip7, Nob1, Nol11, Rpp21, Rrp9, Senp3, Snu13, Tbl3, Utp14a, Utp18, Utp3, Utp6, Wdr3, Wdr75","1.825e-02","86","Bms1, C1d, Csnk1d, Dcaf13, Ddx49, Emg1, Exosc5, Exosc8, Exosc9, Fbl, Fcf1, Heatr1, Krr1, Ltv1, Mphosph10, Mphosph6, Mtrex, Ncl, Nip7, Nob1, Noc4l, Nol11, Nol6, Nol9, Nop58, Pno1, Rcl1, Rpp21, Rpp40, Rrp9, Senp3, Snu13, Tbl3, Utp14a, Utp18, Utp25, Utp3, Utp6, Wdr3, Wdr36, Wdr43, Wdr75"
"rRNA processing in the nucleus and cytosol","1.181e-02","85","Bms1, C1d, Dcaf13, Ddx49, Emg1, Exosc5, Exosc9, Fbl, Heatr1, Ltv1, Mphosph10, Mphosph6, Ncl, Nip7, Nob1, Nol11, Rpp21, Rrp9, Senp3, Snu13, Tbl3, Utp14a, Utp18, Utp3, Utp6, Wdr3, Wdr75","1.825e-02","86","Bms1, C1d, Csnk1d, Dcaf13, Ddx49, Emg1, Exosc5, Exosc8, Exosc9, Fbl, Fcf1, Heatr1, Krr1, Ltv1, Mphosph10, Mphosph6, Mtrex, Ncl, Nip7, Nob1, Noc4l, Nol11, Nol6, Nol9, Nop58, Pno1, Rcl1, Rpp21, Rpp40, Rrp9, Senp3, Snu13, Tbl3, Utp14a, Utp18, Utp25, Utp3, Utp6, Wdr3, Wdr36, Wdr43, Wdr75"
"Class A/1 (Rhodopsin-like receptors)","3.550e-02","63","Adora1, Adra2a, Adrb2, App, C5ar1, Cckar, Ccl25, Ccr5, Cxcl12, Cxcl13, Cxcl16, Cxcr6, Drd3, Ece1, Edn1, Edn3, F2, Gper1, Gpr35, Gpr37l1, Gpr55, Gpr68, Hebp1, Hrh2, Htr4, Kiss1r, Ltb4r1, Ltb4r2, Nmb, Npb, Penk, Ppbp, Pyy, S1pr1, S1pr4","3.061e-03","107","Adora1, Adora2a, Adora2b, Adra2a, Apln, App, C3ar1, C5ar1, Cck, Cckar, Ccl11, Ccl25, Ccl4, Ccl6, Ccl7, Ccr5, Chrm3, Cxcl1, Cxcl13, Cxcl16, Cxcr6, Cysltr1, Cysltr2, Drd3, Ece1, Edn1, Ednra, F2, Gal, Gpr35, Gpr37l1, Hebp1, Hrh1, Htr1d, Htr4, Kel, Ltb4r2, Mc5r, Nmb, Npb, Npy, Npy1r, P2ry1, Penk, Plppr3, Pmch, Ptafr, Ptger2, Pyy, Rxfp1, S1pr1, S1pr3, Sst, Sstr3, Taar3, Tacr3, Uts2"
