"Parent Reactome Pathway Term","Adjusted P-Value (limma)","Size (limma)","Leading Edge (limma)","Adjusted P-Value (DESeq2)","Size (DESeq2)","Leading Edge (DESeq2)"
"MHC class II antigen presentation","1.693e-05","91","Ap1b1, Ap1g1, Ap2a1, Ap2m1, Ap2s1, Arf1, Canx, Capzb, Cd74, Cltc, Ctsb, Ctsc, Ctsd, Ctse, Ctsh, Ctsl, Ctss, Dctn3, Dync1li2, Ifi30, Kif20a, Kif2c, Lgmn, Rab7, Racgap1, Sec23a, Sec24b, Sptbn2, Tuba1a, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6","1.495e-05","94","Actr10, Ap1b1, Ap1g1, Ap2a1, Ap2m1, Ap2s1, Arf1, Canx, Capzb, Cd74, Cltc, Ctsb, Ctsc, Ctsd, Ctse, Ctsh, Ctsl, Ctss, Dctn3, Dctn6, Dync1li2, Dynll2, Ifi30, Kif20a, Kif22, Kif2c, Klc3, Lgmn, Rab7, Racgap1, Sec23a, Sec24b, Sptbn2, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb3, Tubb4b, Tubb6"
"ESR-mediated signaling","1.892e-06","100","Areg, Btc, Calm1, Calm2, Calm3, Cav1, Cav2, Cdk9, Cdkn1b, Creb1, Egfr, Ereg, Fkbp4, Foxa1, Foxo3, Gnai2, Gnai3, Gnb1, Gnb2, Gng10, Gtf2a1, Gtf2f1, Gtf2f2, H3f3a, H3f3b, Hbegf, Hras, Hsp90aa1, Hsp90ab1, Kat5, Kras, Pdpk1, Pik3ca, Polr2e, Polr2f, Polr2h, Prmt1, Ptges3, Shc1, Sphk1, Xpo1, Zdhhc7","8.025e-05","103","Akt3, Areg, Btc, Calm1, Calm2, Calm3, Cav1, Cav2, Cdk9, Cdkn1b, Egfr, Ereg, Fkbp4, Foxa1, Foxo3, Gata3, Gnai2, Gnai3, Gnb1, Gnb2, Gng10, Gtf2a1, Gtf2f1, H3f3a, H3f3b, Hbegf, Hras, Hsp90ab1, Kras, Mapk3, Mmp2, Pdpk1, Pik3ca, Polr2e, Polr2h, Polr2i, Prmt1, Ptges3, Shc1, Sphk1, Tgfa, Tle3, Xpo1, Zdhhc7"
"RHO GTPases activate PKNs","4.434e-05","21","Pkn1, Ppp1cb, Rac1, Rhoa, Rhob, Sfn, Ywhab, Ywhae, Ywhag, Ywhah, Ywhaq","3.646e-05","21","Pdpk1, Pkn1, Pkn3, Ppp1cb, Rac1, Rhoa, Rhob, Sfn, Ywhab, Ywhae, Ywhag, Ywhah, Ywhaq, Ywhaz"
"Beta-catenin independent WNT signaling","2.012e-04","104","Ap2a1, Ap2m1, Ap2s1, Calm1, Calm2, Calm3, Cltb, Cltc, Ctnnb1, Daam1, Fzd7, Gnb1, Gnb2, Pfn1, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Rac1, Rac3, Rhoa, Smurf1, Ubc","3.141e-06","109","Ap2m1, Calm1, Calm2, Calm3, Cltb, Cltc, Ctnnb1, Daam1, Fzd1, Fzd4, Fzd7, Gnb1, Gnb2, Gng10, Kras, Pfn1, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Rac1, Rac3, Rhoa, Smurf1, Ubc"
"RHO GTPase Effectors","1.252e-04","218","Abi1, Abl1, Actg1, Actr2, Arpc1a, Arpc1b, Baiap2, Brk1, Calm1, Calm2, Calm3, Cdc20, Cdca8, Cenpa, Ctnna1, Ctnnb1, Cyba, Cyfip1, Daam1, Dync1li2, Fmnl2, Grb2, Iqgap3, Kif2c, Mapre1, Men1, Mrtfa, Myh9, Myl12b, Myl6, Nudc, Pak2, Pdpk1, Pfn1, Pkn1, Pkn3, Plk1, Ppp1cb, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r5b, Rac1, Rangap1, Rhoa, Rhob, Rhog, Rock1, Rock2, Sfn, Spc24, Srf, Tax1bp3, Tuba1a, Tuba1c, Tubb2a, Tubb2b, Tubb4b, Tubb6, Xpo1, Ywhab, Ywhae, Ywhag, Ywhah, Ywhaq","5.421e-06","226","Abi1, Abl1, Actg1, Actr2, Arpc1a, Arpc1b, Arpc2, Arpc3, Aurkb, Baiap2, Brk1, Bub1, Bub3, Calm1, Calm2, Calm3, Cdc20, Cdca8, Cdh1, Cenpa, Cenpk, Cenpo, Cenpq, Ckap5, Clip1, Ctnna1, Ctnnb1, Cyba, Cyfip1, Daam1, Dync1li2, Dynll2, Fmnl2, Fmnl3, Gopc, Grb2, Incenp, Iqgap1, Iqgap3, Kif2c, Klc3, Mad1l1, Mad2l1, Mapk3, Mapre1, Men1, Mis12, Mrtfa, Myh14, Myh9, Myl12b, Myl6, Nckap1, Nde1, Nudc, Nuf2, Nup107, Pafah1b1, Pak2, Pdpk1, Pfn1, Pkn1, Pkn3, Plk1, Ppp1cb, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r5b, Prc1, Rac1, Rangap1, Rhoa, Rhob, Rhod, Rhog, Rock1, Rock2, Sfn, Sgo2a, Spc24, Src, Srf, Tax1bp3, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb3, Tubb4b, Tubb6, Wipf1, Xpo1, Ywhab, Ywhae, Ywhag, Ywhah, Ywhaq, Ywhaz"
"Selective autophagy","5.436e-05","56","Arl13b, Cftr, Csnk2b, Dync1li1, Dync1li2, Dynll2, Mfn2, Park7, Pcnt, Pink1, Sqstm1, Tomm20, Tomm22, Tomm40, Tomm6, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6, Ubc, Ube2n, Vdac1, Vim","2.493e-05","57","Arl13b, Csnk2b, Dync1li2, Dynll1, Dynll2, Hdac6, Mfn2, Nbr1, Park7, Pcnt, Pink1, Sqstm1, Src, Tomm20, Tomm22, Tomm40, Tomm6, Tomm7, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb3, Tubb4b, Tubb6, Ubc, Ube2n, Ube2v1, Vdac1, Vim"
"Formation of the cornified envelope","5.977e-04","37","Dsc2, Dsg2, Dsp, Evpl, Jup, Kazn, Krt14, Krt15, Krt18, Krt19, Krt20, Krt5, Krt7, Krt8, Krt80, Perp, Pkp1, Pkp3, Pkp4, Ppl, Tgm1","2.103e-06","43","Dsc2, Dsg2, Dsp, Evpl, Jup, Kazn, Krt14, Krt15, Krt18, Krt19, Krt20, Krt5, Krt7, Krt8, Krt80, Perp, Pkp1, Pkp3, Rptn, Tgm1"
"MAPK family signaling cascades","1.023e-04","236","Abhd17a, Actg1, Areg, Arl2, Btc, Calm1, Calm2, Calm3, Ccnd3, Csk, Dlg1, Dusp10, Dusp5, Dusp6, Dusp7, Dusp9, Egfr, Ereg, Fn1, Fnta, Frs2, Golga7, Grb2, Hbegf, Hras, Irs2, Lamtor3, Map2k2, Map3k11, Mapk6, Pak2, Pebp1, Pik3ca, Ppp1cb, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r5b, Prkaca, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Rac1, Ralgds, Rasgrf1, Rce1, Shc1, Tln1, Ubc, Vcl, Xpo1, Ywhab","1.131e-05","252","Abhd17a, Actg1, Areg, Arl2, Btc, Calm1, Calm2, Calm3, Ccnd3, Cdc42ep2, Cdc42ep3, Csk, Dusp10, Dusp5, Dusp6, Dusp7, Dusp9, Egfr, Ereg, Fnta, Foxo3, Frs2, Golga7, Grb2, Hbegf, Hras, Iqgap1, Irs2, Kras, Lamtor2, Lamtor3, Map2k1, Map2k2, Map3k11, Mapk6, Pak2, Pdgfra, Pebp1, Pik3ca, Ppp1cb, Ppp2ca, Ppp2cb, Ppp2r1b, Ppp2r5b, Prkaca, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Ptpn11, Rac1, Ralgds, Rap1a, Rasgrf1, Rce1, Shc1, Shoc2, Sptbn2, Tgfa, Tln1, Ubc, Vcl, Xpo1, Ywhab"
"Deubiquitination","1.004e-04","212","Actg1, Adrm1, Atxn3, Axin1, Becn1, Ccna2, Cdc20, Cftr, Fkbp8, Foxk1, Foxo4, Hgs, Il33, Ino80c, Ino80d, Josd1, Mat2b, Mul1, Nedd8, Ogt, Otub1, Otud7b, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Rad23a, Rad23b, Rce1, Rhoa, Siah2, Smad3, Taf10, Tfpt, Tnip1, Tnks, Tomm20, Ubc, Ube2d1, Ufd1, Usp10, Usp14, Usp15, Usp16, Usp18, Usp22, Usp24, Usp25, Usp3, Usp33, Usp47, Usp48, Usp5, Usp7, Vcp, Vdac1, Vdac2, Yy1","4.306e-05","213","Actg1, Adrb2, Adrm1, Atxn3, Axin1, Ccna2, Cdc20, Fkbp8, Foxo4, Gata3, Hgs, Hif1a, Ifih1, Il33, Ino80c, Ino80d, Nedd8, Otud7b, Psma1, Psma3, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Rad23a, Rad23b, Rce1, Rhoa, Siah2, Smad3, Smad7, Taf10, Tnip1, Tnks, Tomm20, Ubc, Ube2d1, Usp14, Usp18, Usp24, Usp25, Vcp, Vdac1, Vdac2, Yy1"
"Programmed Cell Death","1.387e-04","109","Acin1, Apaf1, Bak1, Bax, Bcap31, Casp7, Cdc37, Cflar, Chmp2b, Chmp3, Chmp4b, Ctnnb1, Dsg2, Dsp, Dynll2, Flot2, Fnta, Gsn, H1f0, Hsp90aa1, Kpnb1, Lmna, Lmnb1, Mlkl, Pdcd6ip, Peli1, Pkp1, Plec, Ripk3, Rock1, Sdcbp, Sfn, Sh3glb2, Ubc, Vim, Ywhab, Ywhae, Ywhag, Ywhah, Ywhaq, Ywhaz","1.495e-05","113","Bak1, Bax, Casp7, Chmp4b, Ctnnb1, Dsg2, Dsp, Flot2, Fnta, Gsn, H1f0, Lmna, Lmnb1, Mlkl, Pdcd6ip, Pkp1, Plec, Ripk3, Rock1, Sdcbp, Sfn, Tradd, Ubc, Vim, Ywhab, Ywhae, Ywhag, Ywhah, Ywhaq, Ywhaz"
"TP53 Regulates Metabolic Genes","1.004e-04","63","Cox14, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7c, Cox8a, Gls, Gpx2, Gsr, Lamtor3, Prdx1, Prdx2, Prdx5, Prkaa1, Sfn, Surf1, Txn1, Ywhab, Ywhae, Ywhag, Ywhah, Ywhaq","8.240e-05","66","Akt1, Akt3, Cox14, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Ddit4, G6pdx, Gls, Gpi1, Gpx2, Gsr, Lamtor2, Lamtor3, Mtor, Prdx1, Prdx2, Prdx5, Prkaa1, Rheb, Rragc, Sfn, Surf1, Txn1, Ywhab, Ywhae, Ywhag, Ywhah, Ywhaq, Ywhaz"
"Signaling by EGFR","7.713e-05","41","Aamp, Areg, Arhgef7, Btc, Cbl, Csk, Egfr, Epn1, Ereg, Grb2, Hbegf, Hgs, Hras, Kras, Lrig1, Pik3ca, Plcg1, Ptpn11, Ptpn12, Sh3gl2, Shc1, Spry1, Spry2, Src, Tgfa, Ubc","2.380e-04","42","Aamp, Areg, Arhgef7, Btc, Cbl, Csk, Egfr, Epn1, Ereg, Grb2, Hbegf, Hgs, Hras, Kras, Pag1, Pik3ca, Ptpn11, Ptpn12, Shc1, Sos1, Spry2, Src, Tgfa, Ubc"
"Translation","5.570e-05","60","Aurkaip1, Eef1a1, Eef1b2, Eef1d, Eef1g, Eef2, Eif2b4, Eif2s1, Eif3a, Eif3b, Eif3c, Eif3d, Eif3e, Eif3f, Eif3h, Eif3i, Eif3l, Eif4a1, Eif4b, Eif4e, Eif4ebp1, Eif4g1, Eif5, Etf1, Gadd45gip1, Gfm2, Gspt1, Oxa1l, Pabpc1, Ppa1, Srp14, Srp9, Trmt112","7.155e-04","60","Aurkaip1, Eef1a1, Eef1b2, Eef1d, Eef1g, Eef2, Eif1ax, Eif2b4, Eif2s1, Eif3a, Eif3b, Eif3c, Eif3d, Eif3e, Eif3f, Eif3h, Eif3i, Eif3l, Eif3m, Eif4a1, Eif4b, Eif4e, Eif4ebp1, Eif4g1, Eif4h, Eif5, Etf1, Gadd45gip1, Gfm2, Gspt1, Oxa1l, Pabpc1, Ppa1, Ppa2, Srp14, Srp68, Srp9, Trmt112"
